Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
19/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
18/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
20/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,,,0,0.0
17/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
16/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
15/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
12/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
11/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
10/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
09/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
08/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
04/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
03/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
02/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
01/12/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
28/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
27/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
26/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
25/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
24/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
21/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,754.00,316.68
20/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
19/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
18/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
17/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
14/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
13/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
12/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
11/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
10/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
07/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
06/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
05/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
04/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
03/11/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
31/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
30/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
29/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
28/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
27/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
24/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
23/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
22/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
21/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
20/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
17/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
16/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
15/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
14/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
13/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
10/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
09/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
08/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
07/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
06/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
03/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
02/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
01/10/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
30/09/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
29/09/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
26/09/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
25/09/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
24/09/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.42,0.41,0.42,0.42,0.42
23/09/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
19/09/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
18/09/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,50.00,21.00
17/09/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
16/09/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
15/09/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.42,0.0,0.00,0.00
12/09/2025,AADS,0.42,0.41,0.41,0.41,0.42,0.42,0.01,0.41,0.0,"167,156.00","70,205.52"
12/09/2025,AADS,0.42,0.41,0.42,0.42,0.42,0.42,0.0,0.41,0.0,0.00,0.00
10/09/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
09/09/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
08/09/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
05/09/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
04/09/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,145.00,59.45
03/09/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
02/09/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
01/09/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
29/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
28/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
27/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
26/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
25/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
22/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
21/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
20/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
19/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
15/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
14/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
13/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
12/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
11/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
08/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
07/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
06/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
05/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
04/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
01/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,609.00,249.69
31/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,100.00,42.00
30/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
29/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
28/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
25/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
24/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
23/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
22/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
21/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
18/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
17/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
16/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
15/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
14/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
11/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
10/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
09/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
08/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
07/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
03/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
02/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
01/07/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
30/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.00,0.00
27/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
26/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
25/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
24/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
23/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
20/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
19/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
18/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
17/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
16/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
13/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
12/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
11/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
10/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
09/06/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.00,0.00
