Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
22/12/2025,ACCESS,16.4,5.2,16.2,16.2,16.2,16.2,0.0,16.2,0.0,59,955.8
23/12/2025,ACCESS,16.4,5.2,16.2,16.2,16.2,16.2,0.0,16.2,0.0,110,"1,782.00"
24/12/2025,ACCESS,16.4,5.2,16.2,16.2,16.2,16.2,0.0,16.2,0.0,267,"4,325.40"
19/12/2025,ACCESS,16.4,5.2,16.2,16.2,16.2,16.2,0.0,16.2,0.0,40.00,648.00
18/12/2025,ACCESS,16.4,5.2,16.2,16.2,16.2,16.2,0.0,16.2,0.0,"4,330.00","70,146.00"
20/12/2025,ACCESS,16.4,5.2,16.2,16.2,16.2,16.2,0.0,,,40,648.0
17/12/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,16.2,0.0,235.00,"3,807.00"
16/12/2025,ACCESS,16.4,5.20,16.08,16.08,16.2,16.2,0.12,16.2,0.0,"12,330.00","199,746.00"
15/12/2025,ACCESS,16.4,5.20,16.08,16.08,16.08,16.08,0.0,16.08,16.2,156.00,"2,508.48"
12/12/2025,ACCESS,16.4,5.20,16.08,16.08,16.08,16.08,0.0,16.08,16.2,928.00,"14,922.24"
11/12/2025,ACCESS,16.4,5.20,16.08,16.08,16.08,16.08,0.0,0.0,16.08,78.00,"1,254.24"
10/12/2025,ACCESS,16.4,5.20,16.08,16.08,16.08,16.08,0.0,16.08,16.2,162.00,"2,604.96"
09/12/2025,ACCESS,16.4,5.20,16.08,16.08,16.08,16.08,0.0,14.5,16.08,213.00,"3,425.04"
08/12/2025,ACCESS,16.4,5.20,16.08,16.08,16.08,16.08,0.0,16.08,16.2,"1,174.00","18,877.92"
04/12/2025,ACCESS,16.4,5.20,16.08,16.08,16.08,16.08,0.0,16.08,16.2,3.00,48.24
03/12/2025,ACCESS,16.4,5.20,16.08,16.08,16.08,16.08,0.0,16.08,16.2,27.00,434.16
02/12/2025,ACCESS,16.4,5.20,16.08,16.08,16.08,16.08,0.0,14.5,16.08,62.00,996.96
01/12/2025,ACCESS,16.4,5.20,16.08,16.08,16.08,16.08,0.0,16.08,16.2,563.00,"9,053.04"
28/11/2025,ACCESS,16.4,5.20,16.08,16.08,16.08,16.08,0.0,14.5,16.08,"2,129.00","34,234.32"
27/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.0,16.08,-0.12,0.0,16.2,"1,747.00","28,101.40"
26/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,16.0,16.2,39.00,631.80
25/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,0.0,16.2,72.00,"1,166.40"
24/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,0.0,16.2,327.00,"5,297.40"
21/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,0.0,16.2,630.00,"10,206.00"
20/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,0.0,16.2,658.00,"10,659.60"
19/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,0.0,16.2,306.00,"4,957.20"
18/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,16.2,0.0,0.00,0.00
17/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,0.0,16.2,"1,116.00","18,079.20"
14/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,16.2,0.0,48.00,777.60
13/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,0.0,16.2,"15,497.00","251,051.40"
12/11/2025,ACCESS,16.4,5.20,16.19,16.19,16.2,16.2,0.01,0.0,16.19,"27,623.00","447,361.02"
11/11/2025,ACCESS,16.4,5.20,16.19,16.19,16.19,16.19,0.0,0.0,16.19,15.00,242.85
10/11/2025,ACCESS,16.4,5.20,16.19,16.19,16.19,16.19,0.0,0.0,16.19,249.00,"4,031.31"
07/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.19,-0.01,0.0,16.19,"12,246.00","198,286.28"
06/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,0.0,16.19,150.00,"2,428.50"
05/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,0.0,16.2,346.00,"5,601.74"
04/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,0.0,16.2,"1,341.00","21,724.20"
03/11/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,0.0,16.2,"24,052.00","389,642.40"
31/10/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,16.2,16.3,"8,765.00","141,993.00"
30/10/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,0.0,16.2,645.00,"10,449.00"
29/10/2025,ACCESS,16.4,5.20,16.2,16.2,16.2,16.2,0.0,0.0,16.2,37.00,599.40
