Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
26/01/2026,BOPP,62.56,55.82,62.56,62.56,62.0,62.56,0.0,62.56,,0.00,0.00
23/01/2026,BOPP,62.56,55.82,62.56,62.56,62.0,62.56,0.0,62.56,,2.00,125.12
22/01/2026,BOPP,62.56,55.82,60.0,60.0,62.0,62.56,2.56,62.0,,2.00,144.00
21/01/2026,BOPP,58.61,55.82,58.61,58.61,60.0,60.0,1.39,60.0,64.0,2.00,122.00
20/01/2026,BOPP,58.61,55.82,58.61,58.61,58.61,58.61,0.0,58.61,60.0,92.00,5.00
19/01/2026,BOPP,58.61,55.82,58.61,58.61,58.61,58.61,0.0,58.61,,5.00,299.00
08/01/2026,BOPP,58.61,55.82,58.61,58.61,58.61,58.61,0.0,60.61,0.0,0.00,0.00
13/01/2026,BOPP,55.82,25.26,55.82,55.82,55.82,55.82,0.0,55.82,0.0,0.00,0.00
14/01/2026,BOPP,58.61,55.82,58.61,58.61,58.61,58.61,0.0,58.61,64.45,0.00,
15/01/2026,BOPP,58.61,55.82,58.61,58.61,58.61,58.61,0.0,58.61,64.45,11.00,644.71
16/01/2026,BOPP,58.61,55.82,58.61,58.61,58.61,58.61,0.0,58.61,64.45,0.00,0.00
07/01/2026,BOPP,58.61,55.82,55.82,55.82,58.61,58.61,2.79,61.4,0.0,"1,485.00","87,049.80"
06/01/2026,BOPP,55.82,55.82,55.82,55.82,58.61,55.82,0.0,55.83,58.61,33.00,"1,934.13"
05/01/2026,BOPP,55.82,55.82,55.82,55.82,55.82,55.82,0.0,55.83,0.0,487.00,"28,543.07"
02/01/2026,BOPP,55.82,25.26,55.82,55.82,55.82,55.82,0.0,55.82,0.0,0.00,0.00
31/12/2025,BOPP,55.82,25.26,55.82,55.82,55.82,55.82,0.0,55.9,61.4,0.00,0.00
30/12/2025,BOPP,55.82,25.26,55.82,55.82,55.82,55.82,0.0,56.0,61.4,1.00,56.00
29/12/2025,BOPP,55.82,25.26,55.82,55.82,55.82,55.82,0.0,56.0,61.4,0.00,0.00
22/12/2025,BOPP,55.82,25.26,55.82,55.82,55.82,55.82,0.0,56.0,0.0,450,"25,200.00"
23/12/2025,BOPP,55.82,25.26,55.82,55.82,55.82,55.82,0.0,56.0,0.0,180,"10,080.00"
24/12/2025,BOPP,55.82,25.26,55.82,55.82,55.82,55.82,0.0,56.0,0.0,0,0
19/12/2025,BOPP,55.82,25.26,55.82,55.82,55.82,55.82,0.0,55.85,0.0,13.00,726.05
18/12/2025,BOPP,55.82,25.26,55.82,55.82,55.82,55.82,0.0,55.85,0.0,0.00,0.00
20/12/2025,BOPP,55.82,25.26,55.82,55.82,55.82,55.82,0.0,,,13,725.66
17/12/2025,BOPP,55.82,25.26,55.82,55.82,55.82,55.82,0.0,55.82,0.0,0.00,0.00
16/12/2025,BOPP,55.82,25.26,51.0,51.0,55.82,55.82,4.82,55.82,0.0,782.00,"43,647.66"
15/12/2025,BOPP,51.0,25.26,51.0,51.0,51.00,51.0,0.0,51.0,56.1,0.00,0.00
12/12/2025,BOPP,51.0,25.26,46.51,46.51,51.00,51.0,4.49,51.0,51.0,619.00,"31,569.00"
11/12/2025,BOPP,46.51,25.26,46.51,46.51,46.51,46.51,0.0,46.6,51.0,0.00,0.00
10/12/2025,BOPP,46.51,25.26,45.7,45.7,46.50,46.51,0.81,46.5,0.0,"1,500.00","69,759.67"
09/12/2025,BOPP,45.7,25.26,45.7,45.7,45.70,45.7,0.0,46.5,0.0,0.00,0.00
08/12/2025,BOPP,45.7,25.26,45.7,45.7,45.70,45.7,0.0,46.5,0.0,0.00,0.00
