Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
05/01/2026,CAL,0.64,0.64,0.64,0.64,0.64,0.64,0.0,0.64,0.0,"240,797.00","154,110.08"
02/01/2026,CAL,0.9,0.33,0.54,0.54,0.58,0.58,0.04,0.58,0.0,"3,811,350.00","2,210,470.97"
31/12/2025,CAL,0.9,0.33,0.62,0.62,0.62,0.64,0.02,0.0,0.62,"322,487.00","206,272.58"
30/12/2025,CAL,0.9,0.33,0.6,0.6,0.62,0.62,0.02,0.62,0.63,"122,259.00","75,483.06"
29/12/2025,CAL,0.9,0.33,0.6,0.6,0.6,0.6,0.0,0.54,0.0,"235,027.00","140,546.20"
22/12/2025,CAL,0.9,0.33,0.65,0.65,0.65,0.65,0.0,0.64,0.65,"1,997,552.00","1,298,408.80"
23/12/2025,CAL,0.9,0.33,0.65,0.65,0.62,0.62,-0.03,0.0,0.62,"632,401.00","392,722.04"
24/12/2025,CAL,0.9,0.33,0.62,0.62,0.59,0.6,-0.02,0.56,0.58,"225,607.00","135,614.40"
19/12/2025,CAL,0.9,0.33,0.63,0.63,0.65,0.65,0.02,0.63,0.0,"1,187,550.00","772,552.28"
18/12/2025,CAL,0.9,0.33,0.58,0.58,0.63,0.63,0.05,0.63,0.0,"223,958.00","140,919.77"
20/12/2025,CAL,0.9,0.33,0.63,0.63,0.65,0.65,0.02,,,1187550,771907.5
17/12/2025,CAL,0.90,0.33,0.54,0.54,0.58,0.58,0.04,0.58,0.00,"3,811,350.00","2,210,470.97"
16/12/2025,CAL,0.90,0.33,0.5,0.5,0.54,0.54,0.04,0.54,0.00,"15,793.00","8,432.36"
15/12/2025,CAL,0.90,0.33,0.47,0.47,0.51,0.5,0.03,0.51,0.00,"20,106.00","10,041.37"
12/12/2025,CAL,0.90,0.33,0.45,0.45,0.47,0.47,0.02,0.48,0.00,"12,004,097.00","5,641,894.29"
11/12/2025,CAL,0.90,0.33,0.45,0.45,0.45,0.45,0.0,0.46,0.49,67.00,30.15
10/12/2025,CAL,0.90,0.33,0.44,0.44,0.45,0.45,0.01,0.45,0.00,"1,206,250.00","543,987.60"
09/12/2025,CAL,0.90,0.33,0.43,0.43,0.43,0.44,0.01,0.44,0.45,"4,371,035.00","1,923,255.40"
08/12/2025,CAL,0.90,0.33,0.43,0.43,0.43,0.43,0.0,0.43,0.44,"302,858.00","130,228.94"
04/12/2025,CAL,0.90,0.33,0.43,0.43,0.43,0.43,0.0,0.42,0.43,"154,422.00","66,401.46"
03/12/2025,CAL,0.90,0.33,0.42,0.42,0.43,0.43,0.01,0.42,0.43,"1,881,127.00","808,884.61"
02/12/2025,CAL,0.90,0.33,0.41,0.41,0.42,0.42,0.01,0.0,0.42,"3,445,530.00","1,430,304.11"
01/12/2025,CAL,0.90,0.33,0.4,0.4,0.41,0.41,0.01,0.4,0.41,"1,020,031.00","418,212.71"
28/11/2025,CAL,0.90,0.33,0.4,0.4,0.40,0.4,0.0,0.0,0.40,"123,152.00","49,260.80"
27/11/2025,CAL,0.90,0.33,0.39,0.39,0.40,0.4,0.01,0.39,0.40,"655,066.00","262,026.09"
26/11/2025,CAL,0.90,0.33,0.38,0.38,0.39,0.39,0.01,0.38,0.39,"537,842.00","209,758.24"
25/11/2025,CAL,0.90,0.33,0.37,0.37,0.38,0.38,0.01,0.37,0.00,"1,180,145.00","448,455.10"
24/11/2025,CAL,0.90,0.33,0.36,0.36,0.37,0.37,0.01,0.37,0.00,"8,713.00","3,223.79"
21/11/2025,CAL,0.90,0.33,0.35,0.35,0.36,0.36,0.01,0.36,0.36,"27,499.00","9,824.65"
20/11/2025,CAL,0.90,0.33,0.34,0.34,0.35,0.35,0.01,0.34,0.36,"666,028.00","233,489.44"
19/11/2025,CAL,0.90,0.33,0.34,0.34,0.34,0.34,0.0,0.34,0.36,"678,050.00","230,537.00"
18/11/2025,CAL,0.90,0.33,0.34,0.34,0.34,0.34,0.0,0.35,0.00,"858,164.00","291,832.08"
17/11/2025,CAL,0.90,0.33,0.34,0.34,0.34,0.34,0.0,0.34,0.00,"559,218.00","190,243.76"
14/11/2025,CAL,0.90,0.33,0.33,0.33,0.36,0.34,0.01,0.36,0.00,"100,935.00","34,323.50"
13/11/2025,CAL,0.90,0.34,0.33,0.33,0.33,0.33,0.0,0.34,0.36,"4,006.00","1,323.97"
12/11/2025,CAL,0.90,0.34,0.34,0.34,0.33,0.33,-0.01,0.33,0.34,"84,877.00","28,326.17"
11/11/2025,CAL,0.90,0.34,0.36,0.36,0.34,0.34,-0.02,0.0,0.36,"458,796.00","155,990.64"
10/11/2025,CAL,0.90,0.35,0.4,0.4,0.36,0.36,-0.04,0.0,0.36,"248,795.00","89,827.57"
07/11/2025,CAL,0.90,0.35,0.4,0.4,0.40,0.4,0.0,0.37,0.54,"120,081.00","48,032.40"
06/11/2025,CAL,0.90,0.35,0.4,0.4,0.40,0.4,0.0,0.36,0.54,"119,036.00","47,614.40"
05/11/2025,CAL,0.90,0.35,0.42,0.42,0.40,0.4,-0.02,0.0,0.54,"115,436.00","46,174.40"
04/11/2025,CAL,0.90,0.35,0.45,0.45,0.42,0.42,-0.03,0.0,0.54,"273,577.00","114,902.34"
03/11/2025,CAL,0.90,0.35,0.49,0.49,0.45,0.45,-0.04,0.0,0.54,"49,055.00","22,074.75"
31/10/2025,CAL,0.90,0.35,0.54,0.54,0.49,0.49,-0.05,0.0,0.49,"400,561.00","196,274.89"
30/10/2025,CAL,0.90,0.35,0.6,0.6,0.54,0.54,-0.06,0.0,0.60,"110,929.00","59,901.66"
29/10/2025,CAL,0.90,0.35,0.65,0.65,0.60,0.6,-0.05,0.0,0.60,"120,171.00","72,102.60"
28/10/2025,CAL,0.90,0.35,0.72,0.72,0.65,0.65,-0.07,0.0,0.65,"44,081.00","28,772.65"
27/10/2025,CAL,0.90,0.35,0.8,0.8,0.72,0.72,-0.08,0.0,0.72,"197,831.00","142,469.67"
24/10/2025,CAL,0.90,0.35,0.85,0.85,0.78,0.8,-0.05,0.85,0.90,"60,592.00","48,360.22"
23/10/2025,CAL,0.90,0.35,0.9,0.9,0.84,0.85,-0.05,0.85,0.90,"766,156.00","652,334.08"
22/10/2025,CAL,0.90,0.35,0.9,0.9,0.90,0.9,0.0,0.85,0.90,"738,448.00","664,703.20"
21/10/2025,CAL,0.90,0.35,0.86,0.86,0.90,0.9,0.04,0.9,0.00,"832,227.00","749,004.30"
20/10/2025,CAL,0.85,0.35,0.85,0.85,0.85,0.86,0.01,0.85,0.90,"19,278.00","16,642.30"
17/10/2025,CAL,0.85,0.35,0.85,0.85,0.85,0.85,0.0,0.85,0.00,"801,184.00","681,439.81"
16/10/2025,CAL,0.85,0.35,0.85,0.85,0.85,0.85,0.0,0.85,0.86,"189,003.00","161,229.80"
15/10/2025,CAL,0.85,0.35,0.83,0.83,0.85,0.85,0.02,0.84,0.85,"33,875.00","28,684.55"
14/10/2025,CAL,0.83,0.35,0.81,0.81,0.85,0.83,0.02,0.85,0.00,"500,407.00","413,739.95"
13/10/2025,CAL,0.81,0.35,0.79,0.79,0.81,0.81,0.02,0.81,0.00,"296,210.00","239,930.10"
10/10/2025,CAL,0.80,0.35,0.78,0.78,0.81,0.79,0.01,0.79,0.00,"112,114.00","88,164.69"
09/10/2025,CAL,0.80,0.35,0.75,0.75,0.78,0.78,0.03,0.78,0.00,"21,749.00","16,963.92"
08/10/2025,CAL,0.80,0.35,0.73,0.73,0.75,0.75,0.02,0.75,0.00,"30,401.00","22,792.75"
07/10/2025,CAL,0.80,0.35,0.72,0.72,0.73,0.73,0.01,0.72,0.00,"6,214,536.00","4,529,396.62"
06/10/2025,CAL,0.80,0.35,0.69,0.69,0.72,0.72,0.03,0.72,0.00,"168,705.00","121,100.53"
03/10/2025,CAL,0.80,0.35,0.66,0.66,0.69,0.69,0.03,0.7,0.00,"204,993.00","142,184.72"
02/10/2025,CAL,0.80,0.35,0.64,0.64,0.66,0.66,0.02,0.68,0.00,"11,578.00","7,641.48"
01/10/2025,CAL,0.80,0.35,0.64,0.64,0.64,0.64,0.0,0.64,0.66,"1,391.00",890.24
30/09/2025,CAL,0.80,0.35,0.64,0.64,0.64,0.64,0.0,0.64,0.00,"50,154.00","32,098.56"
30/09/2025,CAL,"1,129.50",722.88,0.0,,0.00,,0.3098,2.0,,,
29/09/2025,CAL,0.80,0.35,0.63,0.63,0.64,0.64,0.01,0.64,0.00,"7,786.00","4,977.12"
26/09/2025,CAL,0.80,0.35,0.61,0.61,0.62,0.63,0.02,0.64,0.00,"52,066.00","32,542.37"
25/09/2025,CAL,0.80,0.35,0.57,0.57,0.61,0.61,0.04,0.61,0.00,"97,836.00","59,679.96"
24/09/2025,CAL,0.80,0.35,0.57,0.57,0.57,0.57,0.8,0.35,0.57,0.57,0.57
23/09/2025,CAL,0.80,0.35,0.57,0.57,0.57,0.57,0.0,0.57,0.00,667.00,380.19
19/09/2025,CAL,0.80,0.35,0.57,0.57,0.57,0.57,0.0,0.55,0.57,"94,324.00","53,764.68"
18/09/2025,CAL,0.80,0.35,0.57,0.57,0.57,0.57,0.0,0.55,0.57,"324,329.00","184,863.53"
17/09/2025,CAL,0.80,0.35,0.52,0.52,0.57,0.57,0.05,0.52,0.00,"5,549.00","3,135.66"
16/09/2025,CAL,0.80,0.35,0.52,0.52,0.52,0.52,0.0,0.52,0.00,"5,254.00","2,732.08"
15/09/2025,CAL,0.80,0.35,0.52,0.52,0.52,0.52,0.0,0.52,0.00,"1,525.00",793.00
12/09/2025,CAL,0.80,0.35,0.51,0.51,0.51,0.51,0.0,0.51,0.52,"5,790.00","2,952.90"
12/09/2025,CAL,0.80,0.35,0.51,0.51,0.52,0.52,0.01,0.52,0.00,"47,427.00","24,662.04"
10/09/2025,CAL,0.80,0.35,0.51,0.51,0.51,0.51,0.0,0.51,0.52,"11,929.00","6,083.79"
09/09/2025,CAL,0.80,0.35,0.51,0.51,0.51,0.51,0.0,0.51,0.52,"19,936.00","10,167.36"
08/09/2025,CAL,0.80,0.35,0.51,0.51,0.51,0.51,0.0,0.48,0.51,"13,488.00","6,878.88"
05/09/2025,CAL,0.80,0.35,0.51,0.51,0.51,0.51,0.0,0.48,0.51,"26,240.00","13,382.40"
