Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
26/01/2026,CLYD,0.5,0.46,0.5,0.5,0.54,0.5,0.0,0.52,,0.00,0.00
23/01/2026,CLYD,0.5,0.46,0.5,0.5,0.54,0.5,0.0,0.54,,0.00,0.00
22/01/2026,CLYD,0.5,0.46,0.5,0.5,0.54,0.5,0.0,0.52,,0.00,0.00
21/01/2026,CLYD,0.5,0.46,0.5,0.5,0.54,0.5,0.0,0.52,,2.00,1.00
20/01/2026,CLYD,0.5,0.46,0.5,0.5,0.5,0.5,0.0,0.5,,0.00,0.00
19/01/2026,CLYD,0.5,0.46,0.5,0.5,0.5,0.5,0.0,0.5,,0.00,0.00
08/01/2026,CLYD,0.46,0.46,0.46,0.46,0.46,0.46,0.0,0.5,0.0,0.00,0.00
13/01/2026,CLYD,0.46,0.03,0.46,0.46,0.46,0.46,0.0,0.5,0.0,0.00,0.00
14/01/2026,CLYD,0.46,0.46,0.46,0.46,0.5,0.46,0.0,0.5,0.0,"1,000.00",
15/01/2026,CLYD,0.46,0.46,0.46,0.46,0.5,0.46,0.0,0.5,0.0,350.00,175.00
16/01/2026,CLYD,0.5,0.46,0.46,0.46,0.5,0.5,0.04,0.5,0.0,"324,000.00","162,000.00"
07/01/2026,CLYD,0.46,0.46,0.46,0.46,0.46,0.46,0.0,0.5,0.0,0.00,0.00
06/01/2026,CLYD,0.46,0.46,0.46,0.46,0.46,0.46,0.0,0.5,0.5,0.00,0.00
05/01/2026,CLYD,0.46,0.46,0.46,0.46,0.46,0.46,0.0,0.5,0.0,50.00,25.00
02/01/2026,CLYD,0.46,0.03,0.46,0.46,0.46,0.46,0.0,0.5,0.0,0.00,0.00
31/12/2025,CLYD,0.46,0.03,0.46,0.46,0.46,0.46,0.0,0.5,0.0,0.00,0.00
30/12/2025,CLYD,0.46,0.03,0.46,0.46,0.46,0.46,0.0,0.5,0.0,0.00,0.00
29/12/2025,CLYD,0.46,0.03,0.46,0.46,0.46,0.46,0.0,0.5,0.0,41.00,20.50
22/12/2025,CLYD,0.46,0.03,0.46,0.46,0.46,0.46,0.0,0.5,0.0,0,0
