Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
02/01/2026,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
31/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
30/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,650.00,32.50
29/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
22/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0,0
23/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0,0
24/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0,0
19/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
18/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
20/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,,,0,0.0
17/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
16/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
15/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
12/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
11/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
10/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
09/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
08/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
04/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
03/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
02/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
01/12/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
28/11/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
27/11/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
26/11/2025,CPC,0.05,0.02,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.00,0.00
