"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"24/09/2026","ACCESS","46.64","16.20","20.67","20.67","20.67","20.67","0.00","20.67","","120","2,480.40"
"24/09/2026","ADB","5.30","5.06","5.30","5.30","5.30","5.30","0.00","5.30","","0","0.00"
"24/09/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0","0.00"
"24/09/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0","0.00"
"24/09/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","0","0.00"
"24/09/2026","ALLGH","8.46","5.30","5.30","5.30","5.30","5.30","0.00","","5.30","1,518","8,045.40"
"24/09/2026","BOPP","100.00","55.82","75.00","75.00","75.00","75.00","0.00","70.00","74.80","342","24,080.00"
"24/09/2026","CAL","0.94","0.61","0.71","0.71","0.71","0.71","0.00","0.75","","126,513","91,284.97"
"24/09/2026","CLYD","6.57","0.46","4.51","4.51","4.07","4.07","-0.44","","4.07","22,926","93,308.82"
"24/09/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","","0","0.00"
"24/09/2026","CPC","0.24","0.05","0.24","0.24","0.24","0.24","0.00","0.26","","0","0.00"
"24/09/2026","DASPHARMA","1.98","0.38","1.19","1.19","1.19","1.19","0.00","","1.19","3,447","4,101.93"
"24/09/2026","EGH","57.00","25.00","39.00","39.00","39.00","39.00","0.00","37.00","39.00","4,832","188,448.00"
"24/09/2026","EGL","12.16","3.48","7.00","7.00","7.00","7.00","0.00","6.70","","35,901","251,307.00"
"24/09/2026","ETI","2.82","0.76","1.74","1.74","1.69","1.69","-0.05","1.62","1.70","129,477","218,671.67"
"24/09/2026","FML","16.35","8.00","14.02","14.02","14.00","14.00","-0.02","14.00","14.02","97,686","1,367,681.04"
"24/09/2026","FAB","8.40","7.71","8.40","8.40","8.40","8.40","0.00","8.40","","500","4,200.00"
"24/09/2026","GCB","52.00","20.11","40.06","40.06","40.05","40.05","-0.01","40.00","40.06","13,220","529,354.00"
"24/09/2026","GGBL","16.50","6.60","10.70","10.70","10.70","10.70","0.00","","10.70","381","4,076.70"
"24/09/2026","GOIL","8.01","2.96","6.10","6.10","6.10","6.10","0.00","6.02","6.10","13,842","84,409.20"
"24/09/2026","KASA","2.30","1.20","1.77","1.77","1.78","1.78","0.01","1.77","1.78","112,311","200,453.67"
"24/09/2026","MAC","5.20","5.20","5.20","5.20","5.20","5.20","0.00","5.20","","0","0.00"
"24/09/2026","MTNGH","7.15","4.20","6.61","6.61","6.56","6.56","-0.05","6.51","6.55","2,865,946","18,805,027.48"
"24/09/2026","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","","","0","0.00"
"24/09/2026","RBGH","5.58","1.30","4.04","4.04","4.04","4.04","0.00","","4.04","802","3,240.08"
"24/09/2026","SCB","79.41","29.22","69.89","69.89","69.89","69.89","0.00","","69.88","69","4,821.72"
"24/09/2026","SIC","6.09","1.20","5.00","5.00","5.23","5.23","0.23","","5.00","22,020","111,758.94"
"24/09/2026","SOGEGH","11.51","4.49","5.54","5.54","5.55","5.55","0.01","5.55","5.60","6,961","38,629.70"
"24/09/2026","TBL","1.32","1.20","1.20","1.20","1.20","1.20","0.00","1.20","","260","312.00"
"24/09/2026","TOTAL","42.00","32.91","37.80","37.80","37.80","37.80","0.00","34.05","37.80","244","9,223.20"
"24/09/2026","TLW","13.11","11.92","13.11","13.11","13.11","13.11","0.00","13.11","","0","0.00"
"24/09/2026","UNIL","40.00","19.79","40.00","40.00","40.00","40.00","0.00","","40.00","240","9,600.00"
"24/09/2026","ZEN","12.61","5.00","9.01","9.01","9.01","9.01","0.00","9.01","","1,341","12,082.41"
"24/09/2026","AADS","0.42","0.42","0.42","0.42","0.42","0.42","0.00","0.46","","0","0.00"
"24/09/2026","SCBPREF","0.99","0.90","0.99","0.99","0.99","0.99","0.00","0.99","","0","0.00"
"24/09/2026","GLD","533.93","466.72","462.38","462.38","462.38","462.38","0.00","","462.38","966","446,659.08"
"24/09/2026","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.55","","0","0.00"
"24/09/2026","MMH","0.12","0.10","0.12","0.12","0.12","0.12","0.00","0.12","","57","6.84"
"24/09/2026","HORDS","0.88","0.09","0.61","0.61","0.61","0.61","0.00","0.61","0.66","1,137","693.57"
"24/09/2026","IIL","0.93","0.05","0.50","0.50","0.50","0.50","0.00","","0.53","14,573","7,723.69"
"24/09/2026","DIGICUT","0.42","0.09","0.41","0.41","0.40","0.40","-0.01","0.42","","75,362","30,284.82"
"23/09/2026","ACCESS","46.64","16.20","20.67","20.67","20.67","20.67","0.00","20.67","","386","7,978.62"
"23/09/2026","ADB","5.30","5.06","5.30","5.30","5.30","5.30","0.00","5.30","","11","58.30"
"23/09/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0","0.00"
"23/09/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0","0.00"
"23/09/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","16","142.24"
"23/09/2026","ALLGH","8.46","5.30","5.30","5.30","5.30","5.30","0.00","","5.30","4,373","23,176.90"
"23/09/2026","BOPP","100.00","55.82","75.00","75.00","75.00","75.00","0.00","70.00","75.00","377","27,025.00"
"23/09/2026","CAL","0.94","0.61","0.70","0.70","0.71","0.71","0.01","0.70","0.71","153,891","107,785.76"
"23/09/2026","CLYD","6.57","0.46","4.70","4.70","4.51","4.51","-0.19","","4.40","4,461","20,084.40"
"23/09/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","","0","0.00"
"23/09/2026","CPC","0.24","0.05","0.24","0.24","0.24","0.24","0.00","0.26","","0","0.00"
"23/09/2026","DASPHARMA","1.98","0.38","1.19","1.19","1.19","1.19","0.00","","1.19","7,950","9,460.50"
"23/09/2026","EGH","57.00","25.00","38.00","38.00","39.00","39.00","1.00","37.00","39.00","2,218","86,502.00"
"23/09/2026","EGL","12.16","3.48","7.00","7.00","7.00","7.00","0.00","7.00","","538","3,766.00"
"23/09/2026","ETI","2.82","0.76","1.62","1.62","1.74","1.74","0.12","1.60","1.65","30,390","52,731.67"
"23/09/2026","FML","16.35","8.00","14.02","14.02","14.02","14.02","0.00","13.86","14.02","990","13,908.12"
"23/09/2026","FAB","8.40","7.71","8.40","8.40","8.40","8.40","0.00","8.40","","83","697.20"
"23/09/2026","GCB","52.00","20.11","40.00","40.00","40.06","40.06","0.06","40.02","42.00","27,210","1,090,328.53"
"23/09/2026","GGBL","16.50","6.60","10.70","10.70","10.70","10.70","0.00","","10.70","658","7,040.60"
"23/09/2026","GOIL","8.01","2.96","6.10","6.10","6.10","6.10","0.00","6.00","6.10","19,648","119,840.50"
"23/09/2026","KASA","2.30","1.20","1.82","1.82","1.77","1.77","-0.05","1.77","1.78","255,689","453,043.89"
"23/09/2026","MAC","5.20","5.20","5.20","5.20","5.20","5.20","0.00","4.70","","70","364.00"
"23/09/2026","MTNGH","7.15","4.20","6.68","6.68","6.61","6.61","-0.07","6.50","6.60","732,899","4,846,688.75"
"23/09/2026","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","","","0","0.00"
"23/09/2026","RBGH","5.58","1.30","4.04","4.04","4.04","4.04","0.00","","4.03","203","818.92"
"23/09/2026","SCB","79.41","29.22","69.89","69.89","69.89","69.89","0.00","","69.89","65","4,542.85"
"23/09/2026","SIC","6.09","1.20","5.43","5.43","5.00","5.00","-0.43","5.40","5.60","32,469","165,114.20"
"23/09/2026","SOGEGH","11.51","4.49","5.60","5.60","5.54","5.54","-0.06","5.40","5.60","16,446","91,097.60"
"23/09/2026","TBL","1.32","1.20","1.20","1.20","1.20","1.20","0.00","1.20","","0","0.00"
"23/09/2026","TOTAL","42.00","32.91","37.80","37.80","37.80","37.80","0.00","37.80","41.57","249","9,412.20"
"23/09/2026","TLW","13.11","11.92","13.11","13.11","13.11","13.11","0.00","13.11","","63","825.93"
"23/09/2026","UNIL","40.00","19.79","40.00","40.00","40.00","40.00","0.00","","40.00","123","4,920.00"
"23/09/2026","ZEN","12.61","5.00","9.01","9.01","9.01","9.01","0.00","9.01","","3,933","35,436.33"
"23/09/2026","AADS","0.42","0.42","0.42","0.42","0.42","0.42","0.00","0.46","","0","0.00"
"23/09/2026","SCBPREF","0.99","0.90","0.99","0.99","0.99","0.99","0.00","","","0","0.00"
"23/09/2026","GLD","533.93","466.72","462.38","462.38","462.38","462.38","0.00","","462.38","8","3,699.04"
"23/09/2026","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.55","","0","0.00"
"23/09/2026","MMH","0.12","0.10","0.12","0.12","0.12","0.12","0.00","0.13","","0","0.00"
"23/09/2026","HORDS","0.88","0.09","0.61","0.61","0.61","0.61","0.00","0.61","0.66","25,819","15,749.59"
"23/09/2026","IIL","0.93","0.05","0.53","0.53","0.50","0.50","-0.03","0.49","0.53","125,039","63,378.36"
