"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"31/07/2026","ACCESS","46.64","16.20","31.90","31.90","31.90","31.90","0.00","","31.90","37","1,180.30"
"31/07/2026","ADB","5.30","5.06","5.30","5.30","5.30","5.30","0.00","5.30","","2","10.60"
"31/07/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0","0.00"
"31/07/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0","0.00"
"31/07/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","1","8.89"
"31/07/2026","ALLGH","8.46","6.12","6.50","6.50","6.37","6.37","-0.13","","6.31","8,631","55,721.50"
"31/07/2026","BOPP","100.00","55.82","79.99","79.99","79.99","79.99","0.00","","79.99","26","2,079.74"
"31/07/2026","CAL","0.94","0.61","0.77","0.77","0.79","0.79","0.02","0.78","0.81","257,982","203,105.87"
"31/07/2026","CLYD","4.75","0.46","4.75","4.75","4.75","4.75","0.00","4.75","","2,320","11,020.00"
"31/07/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","","0","0.00"
"31/07/2026","CPC","0.17","0.05","0.17","0.17","0.17","0.17","0.00","0.18","","0","0.00"
"31/07/2026","DASPHARMA","0.44","0.38","0.44","0.44","0.44","0.44","0.00","0.48","","1,127","540.96"
"31/07/2026","EGH","57.00","25.00","39.00","39.00","39.00","39.00","0.00","39.00","","172","6,708.00"
"31/07/2026","EGL","12.16","3.48","10.04","10.04","10.04","10.04","0.00","","10.04","501","5,030.04"
"31/07/2026","ETI","2.82","0.76","1.95","1.95","1.93","1.93","-0.02","1.87","1.90","206,631","399,779.85"
"31/07/2026","FML","16.35","8.00","13.30","13.30","13.30","13.30","0.00","13.30","","1,627","21,639.10"
"31/07/2026","FAB","8.40","7.71","8.40","8.40","8.40","8.40","0.00","8.40","","0","0.00"
"31/07/2026","GCB","52.00","20.11","43.20","43.20","43.20","43.20","0.00","43.20","","31,583","1,364,385.60"
"31/07/2026","GGBL","16.50","6.60","11.91","11.91","11.91","11.91","0.00","","11.91","1,684","20,056.44"
"31/07/2026","GOIL","8.01","2.96","7.96","7.96","7.96","7.96","0.00","","7.96","2,446","19,470.16"
"31/07/2026","KASA","2.30","1.20","2.01","2.01","2.00","2.00","-0.01","1.95","2.00","770,329","1,541,498.35"
"31/07/2026","MAC","5.20","5.20","5.20","5.20","5.20","5.20","0.00","5.20","","0","0.00"
"31/07/2026","MTNGH","7.15","4.20","7.15","7.15","7.14","7.14","-0.01","7.10","7.14","416,363","2,974,997.04"
"31/07/2026","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","","","0","0.00"
"31/07/2026","RBGH","5.58","1.30","4.20","4.20","4.20","4.20","0.00","4.20","4.30","9,543","40,080.60"
"31/07/2026","SCB","79.41","29.22","70.00","70.00","70.00","70.00","0.00","","70.00","127","8,890.00"
"31/07/2026","SIC","6.09","1.20","5.74","5.74","5.74","5.74","0.00","5.18","5.74","12,678","72,771.72"
"31/07/2026","SOGEGH","11.51","4.49","6.80","6.80","6.80","6.80","0.00","","6.80","4,150","28,220.00"
"31/07/2026","TBL","1.20","1.20","1.20","1.20","1.20","1.20","0.00","1.32","","4","5.28"
"31/07/2026","TOTAL","42.00","32.91","40.00","40.00","39.94","39.94","-0.06","","39.94","764","30,514.16"
"31/07/2026","TLW","13.11","11.92","13.11","13.11","13.11","13.11","0.00","13.11","","52","681.72"
"31/07/2026","UNIL","30.00","19.79","29.50","29.50","29.50","29.50","0.00","29.51","","210","6,195.00"
"31/07/2026","ZEN","12.61","5.00","10.00","10.00","10.00","10.00","0.00","10.00","","39","390.00"
"31/07/2026","AADS","0.42","0.42","0.42","0.42","0.42","0.42","0.00","0.46","","0","0.00"
"31/07/2026","SCBPREF","0.99","0.90","0.99","0.99","0.99","0.99","0.00","0.90","0.99","0","0.00"
"31/07/2026","GLD","533.93","466.72","462.39","462.39","462.39","462.39","0.00","462.39","","7","3,236.73"
"31/07/2026","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.55","","0","0.00"
"31/07/2026","MMH","0.11","0.10","0.11","0.11","0.11","0.11","0.00","0.11","","0","0.00"
"31/07/2026","HORDS","0.39","0.09","0.36","0.36","0.39","0.39","0.03","0.39","","144,322","56,285.58"
"31/07/2026","IIL","0.93","0.05","0.93","0.86","0.84","0.84","-0.09","","0.84","744,948","625,970.77"
"31/07/2026","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.10","","0","0.00"
"30/07/2026","ACCESS","46.64","16.20","31.90","31.90","31.90","31.90","0.00","","31.90","1,027","32,761.30"
"30/07/2026","ADB","5.30","5.06","5.30","5.30","5.30","5.30","0.00","5.30","","0","0.00"
"30/07/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0","0.00"
"30/07/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0","0.00"
"30/07/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","0","0.00"
"30/07/2026","ALLGH","8.46","6.12","7.00","7.00","6.50","6.50","-0.50","6.50","7.00","5,612","36,526.00"
"30/07/2026","BOPP","100.00","55.82","79.99","79.99","79.99","79.99","0.00","","79.99","0","0.00"
"30/07/2026","CAL","0.94","0.61","0.80","0.80","0.77","0.77","-0.03","0.76","0.77","221,179","170,233.16"
"30/07/2026","CLYD","4.75","0.46","4.66","4.66","4.75","4.75","0.09","4.66","4.75","1,200","5,700.00"
"30/07/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","","0","0.00"
"30/07/2026","CPC","0.17","0.05","0.17","0.17","0.17","0.17","0.00","0.18","","0","0.00"
"30/07/2026","DASPHARMA","0.44","0.38","0.44","0.44","0.44","0.44","0.00","0.48","","0","0.00"
"30/07/2026","EGH","57.00","25.00","39.00","39.00","39.00","39.00","0.00","39.00","","524","20,436.00"
"30/07/2026","EGL","12.16","3.48","10.04","10.04","10.04","10.04","0.00","10.04","","7,767","77,980.68"
"30/07/2026","ETI","2.82","0.76","1.95","1.95","1.95","1.95","0.00","1.80","1.95","43,494","84,813.30"
"30/07/2026","FML","16.35","8.00","13.30","13.30","13.30","13.30","0.00","13.30","","1,231","16,372.30"
"30/07/2026","FAB","8.40","7.71","8.40","8.40","8.40","8.40","0.00","8.40","","3,136","26,342.40"
"30/07/2026","GCB","52.00","20.11","43.20","43.20","43.20","43.20","0.00","43.19","43.20","410,047","17,714,022.76"
"30/07/2026","GGBL","16.50","6.60","11.91","11.91","11.91","11.91","0.00","","11.91","1,781","21,209.89"
"30/07/2026","GOIL","8.01","2.96","7.96","7.96","7.96","7.96","0.00","","7.96","4,414","35,135.44"
"30/07/2026","KASA","2.30","1.20","2.00","2.00","2.01","2.01","0.01","1.95","2.00","362,420","729,082.62"
"30/07/2026","MAC","5.20","5.20","5.20","5.20","5.20","5.20","0.00","5.20","","1","5.20"
"30/07/2026","MTNGH","7.15","4.20","7.06","7.06","7.15","7.15","0.09","7.10","7.15","336,154","2,402,392.33"
"30/07/2026","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","","","0","0.00"
"30/07/2026","RBGH","5.58","1.30","4.20","4.20","4.20","4.20","0.00","4.20","4.22","12,137","50,975.40"
