Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
05/01/2026,EGH,25.0,25.0,25.0,25.0,25.0,25.0,0.0,25.0,0.0,"1,024.00","25,600.00"
02/01/2026,EGH,25.0,6.25,25.0,25.0,25.0,25.0,0.0,25.0,0.0,"2,918.00","72,950.00"
31/12/2025,EGH,25.0,6.25,25.0,25.0,25.0,25.0,0.0,22.5,25.0,692.00,"17,300.00"
30/12/2025,EGH,25.0,6.25,25.0,25.0,25.0,25.0,0.0,25.0,0.0,"2,259.00","56,475.00"
29/12/2025,EGH,25.0,6.25,25.0,25.0,25.0,25.0,0.0,22.5,25.0,460.00,"11,500.00"
22/12/2025,EGH,25.0,6.25,25.0,25.0,25.0,25.0,0.0,22.5,25.0,235,"5,875.00"
23/12/2025,EGH,25.0,6.25,25.0,25.0,25.0,25.0,0.0,22.5,25.0,"4,373.00","109,325.00"
24/12/2025,EGH,25.0,6.25,25.0,25.0,25.0,25.0,0.0,22.5,25.0,"2,769.00","69,225.00"
19/12/2025,EGH,25.0,6.25,25.0,25.0,25.0,25.0,0.0,25.0,0.0,"4,782.00","119,550.00"
18/12/2025,EGH,25.0,6.25,25.0,25.0,25.0,25.0,0.0,25.0,0.0,"6,873.00","171,825.00"
20/12/2025,EGH,25.0,6.25,25.0,25.0,25.0,25.0,0.0,,,4782,119550.0
17/12/2025,EGH,25.0,6.25,25.0,25.0,25.0,25.0,0.0,25.0,0.0,"2,918.00","72,950.00"
16/12/2025,EGH,25.0,6.25,25.0,25.0,25.0,25.0,0.0,22.5,25.0,"6,635.00","165,875.00"
15/12/2025,EGH,25.0,6.25,25.0,25.0,25.0,25.0,0.0,24.0,25.0,"5,144.00","128,600.00"
12/12/2025,EGH,25.0,6.25,24.02,24.02,25.0,25.0,0.98,0.0,25.0,"32,271.00","806,775.00"
11/12/2025,EGH,24.02,6.25,24.02,24.02,24.02,24.02,0.0,24.02,0.0,0.00,0.00
10/12/2025,EGH,24.02,6.25,24.02,24.02,24.02,24.02,0.0,24.02,0.0,0.00,0.00
09/12/2025,EGH,24.02,6.25,24.02,24.02,24.02,24.02,0.0,0.0,24.02,"4,751.00","114,119.02"
08/12/2025,EGH,24.02,6.25,24.02,24.02,24.02,24.02,0.0,24.02,25.0,0.00,0.00
