Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
27/01/2026,EGL,3.53,3.48,3.53,3.53,3.55,3.53,0.0,3.54,,0.0,0.0
26/01/2026,EGL,3.53,3.48,3.53,3.53,3.55,3.53,0.0,3.53,,7.00,24.71
23/01/2026,EGL,3.53,3.48,3.53,3.53,3.55,3.53,0.0,3.55,,20.00,70.80
22/01/2026,EGL,3.53,3.48,3.53,3.53,3.55,3.53,0.0,3.55,,6.00,21.30
21/01/2026,EGL,3.53,3.48,3.53,3.53,3.54,3.53,0.0,3.54,,594.00,2.00
20/01/2026,EGL,3.53,3.48,3.52,3.52,3.52,3.53,0.01,3.53,,2.00,7.00
19/01/2026,EGL,3.52,3.48,3.52,3.52,3.52,3.52,0.0,3.53,,0.00,0.00
08/01/2026,EGL,3.48,3.48,3.48,3.48,3.48,3.48,0.0,3.5,0.0,0.00,0.00
13/01/2026,EGL,3.46,1.98,3.46,3.46,3.46,3.46,0.0,3.47,0.0,0.00,0.00
14/01/2026,EGL,3.48,3.48,3.48,3.48,3.48,3.48,0.0,3.5,0.0,"2,302.00",
15/01/2026,EGL,3.52,3.48,3.48,3.48,3.52,3.52,0.04,3.53,0.0,"3,011.00","10,598.39"
16/01/2026,EGL,3.52,3.48,3.52,3.52,3.52,3.52,0.0,3.53,0.0,0.00,0.00
07/01/2026,EGL,3.48,3.48,3.48,3.48,3.48,3.48,0.0,3.5,0.0,0.00,0.00
06/01/2026,EGL,3.48,3.48,3.48,3.48,3.48,3.48,0.0,3.5,3.5,0.00,0.00
05/01/2026,EGL,3.48,3.48,3.48,3.48,3.48,3.48,0.0,3.5,0.0,111.00,388.50
02/01/2026,EGL,3.46,1.98,3.46,3.46,3.46,3.46,0.0,3.47,0.0,0.00,0.00
31/12/2025,EGL,3.48,1.98,3.48,3.48,3.49,3.48,0.0,3.49,0.0,1.00,3.49
30/12/2025,EGL,3.48,1.98,3.48,3.48,3.48,3.48,0.0,3.49,0.0,261.00,910.89
29/12/2025,EGL,3.48,1.98,3.48,3.48,3.48,3.48,0.0,3.48,0.0,103.00,358.44
22/12/2025,EGL,3.46,1.98,3.46,3.46,3.46,3.46,0.0,3.47,0.0,21,72.87
23/12/2025,EGL,3.48,1.98,3.46,3.46,3.48,3.48,0.02,3.48,0.0,"10,929.00","38,032.92"
24/12/2025,EGL,3.48,1.98,3.48,3.48,3.48,3.48,0.0,3.49,0.0,324,"1,130.76"
19/12/2025,EGL,3.46,1.98,3.46,3.46,3.47,3.46,0.0,3.47,0.0,7.00,24.29
18/12/2025,EGL,3.46,1.98,3.46,3.46,3.46,3.46,0.0,3.47,0.0,250.00,867.50
20/12/2025,EGL,3.46,1.98,3.46,3.46,3.46,3.46,0.0,,,7,24.22
17/12/2025,EGL,3.46,1.98,3.46,3.46,3.46,3.46,0.0,3.47,0.0,0.00,0.00
16/12/2025,EGL,3.46,1.98,3.45,3.45,3.45,3.46,0.01,3.46,0.0,"4,470.00","15,459.36"
15/12/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.47,0.0,107.00,371.29
12/12/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,27.00,93.15
11/12/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,0.00,0.00
10/12/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,10.00,34.50
09/12/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,4.00,13.80
08/12/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,29.00,100.05
04/12/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,15.00,51.75
03/12/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,"1,924.00","6,637.80"
02/12/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,24.00,82.80
01/12/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,0.00,0.00
28/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,0.00,0.00
27/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,55.00,189.75
26/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,216.00,745.20
25/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,469.00,"1,618.05"
24/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,37.00,127.65
21/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,"62,434.00","215,397.30"
20/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,0.00,0.00
19/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,43.00,148.35
18/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,0.00,0.00
17/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,31.00,106.95
14/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,2.00,6.90
13/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,"3,300.00","11,385.00"
12/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,109.00,376.05
11/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,0.00,0.00
10/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,0.00,0.00
07/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,"7,994.00","27,579.30"
06/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,0.00,0.00
05/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,0.0,3.45,"6,474.00","22,335.30"
04/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,0.0,3.45,102.00,351.90
03/11/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,0.0,3.45,"2,000.00","6,900.00"
31/10/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,3.45,0.0,0.00,0.00
30/10/2025,EGL,3.45,1.98,3.45,3.45,3.45,3.45,0.0,0.0,3.45,960.00,"3,312.00"
29/10/2025,EGL,3.45,1.98,3.41,3.41,3.45,3.45,0.04,0.0,3.45,"16,996.00","58,636.20"
28/10/2025,EGL,3.41,1.98,3.41,3.41,3.41,3.41,0.0,3.42,3.45,747.00,"2,547.27"
27/10/2025,EGL,3.41,1.98,3.4,3.4,3.40,3.41,0.01,3.42,0.0,"8,535.00","29,067.66"
24/10/2025,EGL,3.4,1.98,3.4,3.4,3.40,3.4,0.0,3.42,0.0,1.00,3.41
23/10/2025,EGL,3.4,1.98,3.4,3.4,3.40,3.4,0.0,3.42,0.0,5.00,17.05
22/10/2025,EGL,3.4,1.98,3.4,3.4,3.40,3.4,0.0,3.42,0.0,50.00,171.00
21/10/2025,EGL,3.4,1.98,3.4,3.4,3.40,3.4,0.0,3.51,0.0,324.00,"1,134.19"
20/10/2025,EGL,3.4,1.98,3.4,3.4,3.40,3.4,0.0,3.4,0.0,"1,805.00","6,137.00"
17/10/2025,EGL,3.4,1.98,3.4,3.4,3.40,3.4,0.0,3.41,0.0,0.00,0.00
16/10/2025,EGL,3.4,1.98,3.4,3.4,3.40,3.4,0.0,3.4,0.0,0.00,0.00
15/10/2025,EGL,3.4,1.98,3.4,3.4,3.40,3.4,0.0,3.4,0.0,"21,339.00","72,552.60"
14/10/2025,EGL,3.4,1.98,3.36,3.36,3.40,3.4,0.04,3.36,3.4,"32,749.00","111,346.60"
13/10/2025,EGL,3.36,1.98,3.36,3.36,3.36,3.36,0.0,3.36,0.0,200.00,672.00
10/10/2025,EGL,3.36,1.98,3.36,3.36,3.36,3.36,0.0,3.36,3.4,10.00,33.60
09/10/2025,EGL,3.36,1.98,3.36,3.36,3.36,3.36,0.0,3.36,3.4,"11,900.00","39,985.52"
08/10/2025,EGL,3.36,1.98,3.36,3.36,3.36,3.36,0.0,3.36,0.0,0.00,0.00
07/10/2025,EGL,3.36,1.98,3.36,3.36,3.36,3.36,0.0,3.37,0.0,9.00,30.24
06/10/2025,EGL,3.36,1.98,3.36,3.36,3.36,3.36,0.0,3.36,0.0,101.00,339.36
03/10/2025,EGL,3.36,1.98,3.36,3.36,3.36,3.36,0.0,3.36,0.0,244.00,819.84
02/10/2025,EGL,3.36,1.98,3.35,3.35,3.36,3.36,0.01,3.36,0.0,"47,270.00","158,707.20"
01/10/2025,EGL,3.35,1.98,3.2,3.2,3.35,3.35,0.15,3.35,0.0,"2,048.00","6,860.80"
30/09/2025,EGL,3.2,1.98,3.2,3.2,3.20,3.2,0.0,3.22,3.35,0.00,0.00
30/09/2025,EGL,170.89,546.86,0.0,,0.13,,1.8994,2.0,,,
29/09/2025,EGL,3.2,1.98,3.2,3.2,3.20,3.2,0.0,3.3,3.35,35.00,115.50
26/09/2025,EGL,3.2,1.98,3.2,3.2,3.20,3.2,0.0,3.22,0.0,0.00,0.00
25/09/2025,EGL,3.2,1.98,3.1,3.1,3.21,3.2,0.1,3.21,0.0,"11,001.00","35,213.20"
24/09/2025,EGL,3.1,1.98,3.1,3.1,3.10,3.1,3.1,1.98,3.1,3.10,3.10
23/09/2025,EGL,3.1,1.98,3.1,3.1,3.10,3.1,0.0,3.1,0.0,0.00,0.00
19/09/2025,EGL,3.1,1.98,3.0,3.0,3.10,3.1,0.1,3.0,3.1,"9,803.00","30,389.30"
18/09/2025,EGL,3.0,1.98,3.0,3.0,3.00,3.0,0.0,3.0,3.3,16.00,48.00
17/09/2025,EGL,3.0,1.98,3.0,3.0,3.00,3.0,0.0,3.0,0.0,119.00,357.00
16/09/2025,EGL,3.0,1.98,3.0,3.0,3.00,3.0,0.0,3.0,0.0,"1,025.00","3,075.00"
15/09/2025,EGL,3.0,1.98,3.0,3.0,3.00,3.0,0.0,3.0,0.0,6.00,18.00
12/09/2025,EGL,3.0,1.98,3.0,3.0,3.00,3.0,0.0,0.0,3.0,29.00,87.00
12/09/2025,EGL,3.0,1.98,3.0,3.0,3.00,3.0,0.0,3.0,0.0,75.00,225.00
10/09/2025,EGL,3.0,1.98,3.0,3.0,3.00,3.0,0.0,3.0,0.0,0.00,0.00
