Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
03/02/2026,ETI,0.77,0.76,0.77,0.77,0.77,0.77,0.0,0.7,0.77,90.0,69.0
02/02/2026,ETI,0.77,0.76,0.77,0.77,0.77,0.77,0.0,0.7,0.77,46.0,35.0
30/01/2026,ETI,0.77,0.76,0.77,0.77,0.77,0.77,0.0,0.77,0.84,25.0,19.0
29/01/2026,ETI,0.77,0.76,0.77,0.77,0.77,0.77,0.0,0.77,0.84,189.0,146.0
28/01/2026,ETI,0.77,0.76,0.77,0.77,0.77,0.77,0.0,0.77,0.84,38.0,30.0
27/01/2026,ETI,0.77,0.76,0.77,0.77,0.77,0.77,0.0,0.77,,72.0,55.0
26/01/2026,ETI,0.77,0.76,0.77,0.77,0.77,0.77,0.0,0.77,,2.00,2.00
23/01/2026,ETI,0.77,0.76,0.77,0.77,0.77,0.77,0.0,0.77,,16.00,12.00
22/01/2026,ETI,0.77,0.76,0.77,0.77,0.77,0.77,0.0,0.77,,72.00,55.00
21/01/2026,ETI,0.77,0.76,0.76,0.76,0.77,0.77,0.01,0.76,,174.00,134.00
20/01/2026,ETI,0.77,0.76,0.76,0.76,0.76,0.76,0.0,0.7,,23.00,17.00
19/01/2026,ETI,0.77,0.76,0.76,0.76,0.76,0.76,0.0,0.7,0.77,14.00,11.00
08/01/2026,ETI,0.77,0.76,0.76,0.76,0.76,0.76,0.0,0.7,0.76,"39,351.00","29,906.76"
13/01/2026,ETI,1.0,0.31,0.77,0.77,0.77,0.77,0.0,0.7,0.77,"14,615.00","11,253.55"
14/01/2026,ETI,0.77,0.76,0.76,0.76,0.76,0.76,0.0,0.76,0.77,"4,213.00",
15/01/2026,ETI,0.77,0.76,0.76,0.76,0.76,0.76,0.0,0.7,0.76,"103,744.00","78,845.44"
16/01/2026,ETI,0.77,0.76,0.76,0.76,0.76,0.76,0.0,0.76,0.77,"19,583.00","14,934.17"
07/01/2026,ETI,0.77,0.76,0.76,0.76,0.76,0.76,0.0,0.7,0.76,"28,356.00","21,550.56"
06/01/2026,ETI,0.77,0.76,0.77,0.77,0.7,0.76,-0.01,0.7,0.77,"29,688.00","22,598.45"
05/01/2026,ETI,0.77,0.77,0.77,0.77,0.77,0.77,0.0,0.7,0.77,"207,018.00","159,403.86"
02/01/2026,ETI,1.0,0.31,0.77,0.77,0.77,0.77,0.0,0.7,0.77,"14,615.00","11,253.55"
31/12/2025,ETI,1.0,0.31,0.77,0.77,0.77,0.77,0.0,0.7,0.77,"97,515.00","75,086.55"
30/12/2025,ETI,1.0,0.31,0.77,0.77,0.77,0.77,0.0,0.77,0.8,"84,495.00","65,121.15"
29/12/2025,ETI,1.0,0.31,0.77,0.77,0.77,0.77,0.0,0.7,0.77,"88,601.00","68,222.77"
22/12/2025,ETI,1.0,0.31,0.77,0.77,0.77,0.77,0.0,0.7,0.77,"151,836.00","116,913.72"
23/12/2025,ETI,1.0,0.31,0.77,0.77,0.77,0.77,0.0,0.7,0.77,"147,667.00","113,703.59"
24/12/2025,ETI,1.0,0.31,0.77,0.77,0.77,0.77,0.0,0.75,0.77,"11,397.00","8,775.69"
19/12/2025,ETI,1.0,0.31,0.77,0.77,0.77,0.77,0.0,0.7,0.77,"25,241.00","19,435.57"
18/12/2025,ETI,1.0,0.31,0.77,0.77,0.77,0.77,0.0,0.7,0.77,"18,951.00","14,592.27"
20/12/2025,ETI,1.0,0.31,0.77,0.77,0.77,0.77,0.0,,,25241,19435.57
17/12/2025,ETI,1.00,0.31,0.77,0.77,0.77,0.77,0.0,0.7,0.77,"14,615.00","11,253.55"
16/12/2025,ETI,1.00,0.31,0.77,0.77,0.77,0.77,0.0,0.0,0.77,"19,546.00","15,050.42"
15/12/2025,ETI,1.00,0.31,0.79,0.79,0.77,0.77,-0.02,0.0,0.77,"143,179.00","110,247.83"
12/12/2025,ETI,1.00,0.31,0.79,0.79,0.79,0.79,0.0,0.73,0.77,"5,871.00","4,520.67"
11/12/2025,ETI,1.00,0.31,0.79,0.79,0.79,0.79,0.0,0.73,0.79,"8,696.00","6,835.26"
10/12/2025,ETI,1.00,0.31,0.79,0.79,0.79,0.79,0.0,0.73,0.79,"18,456.00","14,580.24"
09/12/2025,ETI,1.00,0.31,0.8,0.8,0.79,0.79,-0.01,0.73,0.79,"70,742.00","56,048.45"
08/12/2025,ETI,1.00,0.31,0.8,0.8,0.80,0.8,0.0,0.74,0.8,"76,253.00","61,002.40"
04/12/2025,ETI,1.00,0.31,0.8,0.8,0.80,0.8,0.0,0.74,0.8,"30,065.00","24,052.00"
03/12/2025,ETI,1.00,0.31,0.81,0.81,0.80,0.8,-0.01,0.74,0.8,"48,929.00","39,174.06"
02/12/2025,ETI,1.00,0.31,0.81,0.81,0.81,0.81,0.0,0.78,0.81,"19,600.00","15,846.00"
01/12/2025,ETI,1.00,0.31,0.81,0.81,0.81,0.81,0.0,0.8,0.81,"6,795.00","5,503.95"
28/11/2025,ETI,1.00,0.31,0.81,0.81,0.81,0.81,0.0,0.74,0.81,"15,213.00","12,322.53"
27/11/2025,ETI,1.00,0.31,0.86,0.86,0.81,0.81,-0.05,0.79,0.81,"73,468.00","59,510.08"
26/11/2025,ETI,1.00,0.31,0.9,0.9,0.81,0.86,-0.04,0.0,0.81,"29,845.00","26,275.82"
25/11/2025,ETI,1.00,0.31,0.9,0.9,0.90,0.9,0.0,0.81,0.9,"24,801.00","22,157.16"
24/11/2025,ETI,1.00,0.31,0.9,0.9,0.90,0.9,0.0,0.81,0.9,"4,830.00","4,347.00"
21/11/2025,ETI,1.00,0.31,0.9,0.9,0.90,0.9,0.0,0.81,0.9,"3,159.00","2,843.10"
20/11/2025,ETI,1.00,0.31,0.9,0.9,0.90,0.9,0.0,0.81,0.9,"8,189.00","7,370.10"
19/11/2025,ETI,1.00,0.31,0.9,0.9,0.90,0.9,0.0,0.81,0.9,"60,314.00","54,282.60"
18/11/2025,ETI,1.00,0.31,0.9,0.9,0.90,0.9,0.0,0.81,0.9,"10,423.00","9,380.70"
17/11/2025,ETI,1.00,0.31,0.9,0.9,0.90,0.9,0.0,0.81,0.9,"23,518.00","21,166.20"
14/11/2025,ETI,1.00,0.31,0.9,0.9,0.90,0.9,0.0,0.81,0.9,"20,873.00","18,685.70"
13/11/2025,ETI,1.00,0.31,0.9,0.9,0.90,0.9,0.0,0.81,0.9,"6,831.00","6,147.90"
12/11/2025,ETI,1.00,0.31,0.9,0.9,0.90,0.9,0.0,0.81,0.9,"7,666.00","6,899.40"
11/11/2025,ETI,1.00,0.31,0.9,0.9,0.90,0.9,0.0,0.81,0.9,"5,129.00","4,616.10"
10/11/2025,ETI,1.00,0.31,0.9,0.9,0.90,0.9,0.0,0.81,0.9,"95,387.00","85,848.30"
07/11/2025,ETI,1.00,0.31,0.9,0.9,0.90,0.9,0.0,0.81,0.9,"22,132.00","19,918.80"
06/11/2025,ETI,1.00,0.31,0.99,0.99,0.90,0.9,-0.09,0.0,0.9,"70,930.00","63,837.24"
05/11/2025,ETI,1.00,0.31,0.99,0.99,0.99,0.99,0.0,0.9,1.0,"11,582.00","11,466.18"
04/11/2025,ETI,1.00,0.31,0.99,0.99,0.99,0.99,0.0,0.9,1.0,"30,043.00","29,752.32"
03/11/2025,ETI,1.00,0.31,0.99,0.99,0.99,0.99,0.0,0.0,1.0,"64,827.00","64,178.73"
31/10/2025,ETI,1.00,0.31,1.0,1.0,1.00,0.99,-0.01,0.0,1.0,"222,031.00","219,665.20"
30/10/2025,ETI,1.00,0.31,1.0,1.0,1.00,1.0,0.0,0.0,1.0,"11,245.00","11,245.00"
29/10/2025,ETI,1.00,0.31,1.0,1.0,1.00,1.0,0.0,0.0,1.0,"41,461.00","41,461.00"
28/10/2025,ETI,1.00,0.31,1.0,1.0,1.00,1.0,0.0,0.0,1.0,"9,991.00","9,991.00"
27/10/2025,ETI,1.00,0.31,1.0,1.0,1.00,1.0,0.0,0.0,1.0,"8,479.00","8,479.00"
24/10/2025,ETI,1.00,0.31,1.0,1.0,1.00,1.0,0.0,0.0,1.0,"122,009.00","122,009.00"
23/10/2025,ETI,1.00,0.31,1.0,1.0,1.00,1.0,0.0,1.0,1.1,"5,107.00","5,107.00"
22/10/2025,ETI,1.00,0.31,1.0,1.0,1.00,1.0,0.0,1.0,0.0,285.00,285.00
21/10/2025,ETI,1.00,0.31,1.0,1.0,1.00,1.0,0.0,1.0,0.0,"209,161.00","209,182.30"
20/10/2025,ETI,1.00,0.31,1.0,1.0,1.00,1.0,0.0,1.01,0.0,733.00,738.70
17/10/2025,ETI,1.00,0.31,0.95,0.95,1.00,1.0,0.05,1.0,1.0,"17,078.00","17,077.50"
16/10/2025,ETI,0.95,0.31,0.93,0.93,0.95,0.95,0.02,0.95,1.0,"142,586.00","134,214.98"
15/10/2025,ETI,0.93,0.31,0.92,0.92,0.93,0.93,0.01,0.93,0.0,"6,082.00","5,656.26"
14/10/2025,ETI,0.92,0.31,0.92,0.92,0.92,0.92,0.0,0.92,0.0,"5,852.00","5,383.84"
13/10/2025,ETI,0.92,0.31,0.92,0.92,0.92,0.92,0.0,0.91,0.92,"564,582.00","519,415.44"
10/10/2025,ETI,0.92,0.31,0.92,0.92,0.92,0.92,0.0,0.92,0.0,"17,590.00","16,182.80"
09/10/2025,ETI,0.92,0.31,0.92,0.92,0.92,0.92,0.0,0.92,0.0,524.00,482.08
08/10/2025,ETI,0.92,0.31,0.92,0.92,0.92,0.92,0.0,0.92,0.92,"12,480.00","11,481.60"
07/10/2025,ETI,0.92,0.31,0.92,0.92,0.92,0.92,0.0,0.91,0.92,"391,725.00","360,387.00"
06/10/2025,ETI,0.92,0.31,0.91,0.91,0.92,0.92,0.01,0.92,0.0,"64,100.00","58,972.00"
03/10/2025,ETI,0.91,0.31,0.91,0.91,0.91,0.91,0.0,0.92,0.0,503.00,457.73
02/10/2025,ETI,0.91,0.31,0.91,0.91,0.91,0.91,0.0,0.0,0.91,"5,124.00","4,662.84"
01/10/2025,ETI,0.91,0.31,0.91,0.91,0.91,0.91,0.0,0.0,0.91,"371,913.00","338,440.83"
30/09/2025,ETI,0.91,0.31,0.9,0.9,0.91,0.91,0.01,0.91,0.0,"100,530.00","91,285.66"
30/09/2025,ETI,"24,067.75","21,901.66",0.0,,0.00,,0.323,3.0,,,
29/09/2025,ETI,0.90,0.31,0.9,0.9,0.90,0.9,0.0,0.9,0.0,"158,240.00","142,416.00"
26/09/2025,ETI,0.90,0.31,0.89,0.89,0.90,0.9,0.01,0.89,0.9,"42,981.00","38,680.90"
25/09/2025,ETI,0.90,0.31,0.89,0.89,0.89,0.89,0.0,0.89,0.0,"26,366.00","23,465.74"
24/09/2025,ETI,0.90,0.31,0.89,0.89,0.89,0.89,0.9,0.31,0.89,0.89,0.89
23/09/2025,ETI,0.90,0.31,0.89,0.89,0.89,0.89,0.0,0.89,0.0,"21,000.00","18,690.00"
19/09/2025,ETI,0.90,0.31,0.81,0.81,0.89,0.89,0.08,0.89,0.0,"5,835.00","5,178.99"
