Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
01/07/2026,FAB,8.4,7.71,8.4,8.4,8.4,8.4,0.0,8.4,,0,0.00
30/06/2026,FAB,8.4,7.71,8.4,8.4,8.4,8.4,0.0,8.4,,0,0.00
29/06/2026,FAB,8.4,7.71,8.4,8.4,8.4,8.4,0.0,8.4,,0,0.00
26/06/2026,FAB,8.4,7.71,8.4,8.4,8.4,8.4,0.0,8.4,,0,0.00
25/06/2026,FAB,8.4,7.71,8.4,8.4,8.4,8.4,0.0,8.4,,0,0.00
24/06/2026,FAB,8.4,7.71,8.4,8.4,8.4,8.4,0.0,8.4,,0,0.00
23/06/2026,FAB,8.4,7.71,8.4,8.4,8.4,8.4,0.0,,,428,"3,595.20"
22/06/2026,FAB,8.4,7.71,8.4,8.4,8.4,8.4,0.0,,,0,0.00
19/06/2026,FAB,8.4,7.71,8.4,8.4,8.4,8.4,0.0,,,0,0.00
18/06/2026,FAB,8.4,7.71,8.4,8.4,8.4,8.4,0.0,,,0,0.00
17/06/2026,FAB,8.4,7.71,8.4,8.4,8.4,8.4,0.0,,,0,0.00
16/06/2026,FAB,8.4,7.71,7.97,7.97,8.4,8.4,0.43,7.97,,"8,309","69,741.42"
15/06/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,0,0.00
12/06/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,0,0.00
11/06/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.9,,0,0.00
10/06/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.9,,0,0.00
09/06/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.9,,0,0.00
08/06/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,0,0.00
05/06/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,0,0.00
04/06/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,36,286.92
03/06/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.9,,0,0.00
02/06/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.9,7.97,0,0.00
01/06/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.9,7.97,100,797.00
29/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.9,7.97,"16,836","134,182.92"
28/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,0,0.00
26/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,8.5,0,0.00
25/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,8.5,0,0.00
22/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,0,0.00
21/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,"13,000","103,610.00"
20/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,0,0.00
19/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,0,0.00
18/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.84,,0,0.00
15/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.84,,0,0.00
14/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.84,,0,0.00
13/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.84,,0,0.00
12/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.84,,0,0.00
11/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.84,,0,0.00
08/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.84,,0,0.00
07/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.84,,0,0.00
06/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,0,0.00
05/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,0,0.00
04/05/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,0,0.00
30/04/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,0,0.00
29/04/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.97,,0,0.00
28/04/2026,FAB,7.97,7.71,7.97,7.97,7.97,7.97,0.0,7.84,,0,0.00
