Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
03/02/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,,2.0,17.0
02/02/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,,29.0,232.0
30/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,,0.0,0.0
29/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,,2.0,16.0
28/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,,176.0,1.0
27/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,20.0,160.0
26/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,10.00,80.00
23/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,,8.0,486.00,3.00
22/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,,8.0,5.00,40.00
21/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,,15.00,120.00
20/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,,2.00,22.00
19/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,,0.00,0.00
08/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,7.21,8.0,"1,643.00","13,144.00"
13/01/2026,FML,8.01,3.7,8.0,8.0,8.0,8.0,0.0,0.0,8.0,744.00,"5,952.00"
14/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,0.0,692.00,
15/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,0.0,"1,740.00","13,920.00"
16/01/2026,FML,8.0,3.7,8.0,8.0,8.0,8.0,0.0,8.0,8.2,160.00,"1,280.00"
07/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,7.21,8.0,891.00,"7,128.00"
06/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,7.21,8.0,"1,558.00","12,464.00"
05/01/2026,FML,8.0,8.0,8.0,8.0,8.0,8.0,0.0,7.2,8.0,"1,625.00","13,000.00"
02/01/2026,FML,8.01,3.7,8.0,8.0,8.0,8.0,0.0,0.0,8.0,744.00,"5,952.00"
31/12/2025,FML,8.01,3.7,8.0,8.0,8.0,8.0,0.0,0.0,8.0,663.00,"5,304.00"
30/12/2025,FML,8.01,3.7,8.0,8.0,8.0,8.0,0.0,7.2,8.0,"3,280.00","26,240.00"
29/12/2025,FML,8.01,3.7,8.0,8.0,8.0,8.0,0.0,0.0,8.0,"4,958.00","39,664.00"
22/12/2025,FML,8.01,3.7,8.0,8.0,8.0,8.0,0.0,7.2,8.0,"3,183.00","25,464.00"
23/12/2025,FML,8.01,3.7,8.0,8.0,8.0,8.0,0.0,0.0,8.0,"1,526.00","12,208.00"
24/12/2025,FML,8.01,3.7,8.0,8.0,8.0,8.0,0.0,7.2,8.0,"1,890.00","15,120.00"
19/12/2025,FML,8.01,3.7,8.0,8.0,8.0,8.0,0.0,7.2,8.0,"2,199.00","17,592.00"
18/12/2025,FML,8.01,3.7,8.0,8.0,8.0,8.0,0.0,7.2,8.0,"4,943.00","39,520.00"
20/12/2025,FML,8.01,3.7,8.0,8.0,8.0,8.0,0.0,,,2199,17592.0
17/12/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,0.0,8.0,744.00,"5,952.00"
16/12/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,7.2,8.0,"1,150.00","9,200.00"
15/12/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,7.2,8.0,"1,180.00","9,440.00"
12/12/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,7.2,8.0,628.00,"5,024.00"
11/12/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,7.2,0.0,452.00,"3,616.00"
10/12/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,7.2,0.0,"111,756.00","894,048.00"
09/12/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,0.0,7.99,"24,698.00","197,583.78"
08/12/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,0.0,8.0,"4,521.00","36,168.00"
04/12/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,7.2,8.0,309.00,"2,472.00"
03/12/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,7.2,8.0,"2,801.00","22,408.00"
02/12/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,7.2,8.0,267.00,"2,136.00"
01/12/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,7.2,8.0,250.00,"2,000.00"
28/11/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,0.0,8.0,"3,092.00","24,736.00"
27/11/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,0.0,8.0,499.00,"3,992.00"
26/11/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,0.0,8.0,374.00,"2,992.00"
25/11/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,0.0,8.0,998.00,"7,984.00"
24/11/2025,FML,8.01,3.7,8.0,8.0,8.00,8.0,0.0,0.0,8.0,"1,269.00","10,152.00"
21/11/2025,FML,8.01,3.7,8.01,8.01,8.00,8.0,-0.01,0.0,8.0,"45,626.00","365,012.01"
20/11/2025,FML,8.01,3.7,8.01,8.01,8.01,8.01,0.0,8.0,8.01,714.00,"5,719.14"
19/11/2025,FML,8.01,3.7,8.01,8.01,8.01,8.01,0.0,8.0,8.01,"7,712.00","61,787.64"
18/11/2025,FML,8.01,3.7,8.0,8.0,8.01,8.01,0.01,8.0,8.01,"2,806.00","22,474.21"
17/11/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,8.0,8.1,67.00,536.00
14/11/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,8.0,8.1,416.00,"3,328.00"
13/11/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,8.0,8.2,"4,513.00","36,104.00"
12/11/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,0.0,8.0,6.00,48.00
11/11/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,8.0,8.2,"1,104.00","8,832.00"
10/11/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,8.0,8.2,"19,028.00","152,224.00"
07/11/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,8.0,8.2,160.00,"1,280.00"
06/11/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,0.0,8.0,"33,073.00","264,584.00"
05/11/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,0.0,8.0,80.00,640.00
04/11/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,0.0,8.0,190.00,"1,520.00"
03/11/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,0.0,8.0,634.00,"5,072.00"
31/10/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,0.0,8.0,"13,887.00","111,096.00"
30/10/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,8.0,8.2,"43,468.00","347,744.00"
29/10/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,8.0,8.2,"5,134.00","41,072.00"
28/10/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,8.0,8.2,"23,666.00","189,328.00"
27/10/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,8.0,8.2,"4,101.00","32,808.00"
24/10/2025,FML,8.0,3.7,8.0,8.0,8.00,8.0,0.0,0.0,8.0,"36,189.00","289,492.00"
