Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
05/01/2026,GCB,20.13,20.11,20.11,20.11,20.13,20.13,0.02,20.14,0.0,"7,391.00","148,782.88"
02/01/2026,GCB,19.58,6.37,19.51,19.51,19.53,19.58,0.07,19.52,20.0,"5,448.00","106,893.48"
31/12/2025,GCB,20.11,6.37,20.11,20.11,20.11,20.11,0.0,20.12,0.0,102.00,"2,052.24"
30/12/2025,GCB,20.11,6.37,20.11,20.11,20.11,20.11,0.0,20.11,0.0,"1,660.00","33,382.60"
29/12/2025,GCB,20.11,6.37,20.1,20.1,20.11,20.11,0.01,20.11,0.0,"5,540.00","111,409.40"
22/12/2025,GCB,20.01,6.37,20.0,20.0,20.01,20.01,0.01,20.01,0.0,"2,042.00","40,860.39"
23/12/2025,GCB,20.1,6.37,20.01,20.01,20.1,20.1,0.09,20.1,0.0,"1,622.00","32,584.92"
24/12/2025,GCB,20.1,6.37,20.1,20.1,20.1,20.1,0.0,20.1,0.0,883,"17,757.01"
19/12/2025,GCB,20.0,6.37,19.92,19.92,20.0,20.0,0.08,20.0,0.0,"2,606.00","52,120.00"
18/12/2025,GCB,19.92,6.37,19.58,19.58,20.0,19.92,0.34,20.0,0.0,"3,410.00","67,621.90"
20/12/2025,GCB,20.0,6.37,19.92,19.92,20.0,20.0,0.08,,,2606,52120.0
17/12/2025,GCB,19.58,6.37,19.51,19.51,19.53,19.58,0.07,19.52,20.0,"5,448.00","106,893.48"
16/12/2025,GCB,19.51,6.37,19.51,19.51,19.51,19.51,0.0,19.52,0.0,"7,694.00","150,109.94"
15/12/2025,GCB,19.51,6.37,19.51,19.51,19.51,19.51,0.0,19.51,0.0,"2,403.00","46,882.53"
12/12/2025,GCB,19.51,6.37,19.51,19.51,19.51,19.51,0.0,19.51,0.0,"23,667.00","461,743.17"
11/12/2025,GCB,19.51,6.37,19.51,19.51,19.51,19.51,0.0,19.51,19.6,357.00,"6,965.07"
10/12/2025,GCB,19.51,6.37,19.51,19.51,19.51,19.51,0.0,19.51,0.0,"1,904.00","37,149.51"
09/12/2025,GCB,19.51,6.37,19.5,19.5,19.51,19.51,0.01,19.51,0.0,"8,784.00","171,352.82"
08/12/2025,GCB,19.5,6.37,19.1,19.1,19.50,19.5,0.4,19.1,0.0,786.00,"15,212.60"
04/12/2025,GCB,19.1,6.37,19.1,19.1,19.10,19.1,0.0,19.1,0.0,238.00,"4,545.80"
03/12/2025,GCB,19.1,6.37,19.1,19.1,19.10,19.1,0.0,19.1,0.0,"69,402.00","1,325,578.20"
02/12/2025,GCB,19.1,6.37,19.1,19.1,19.10,19.1,0.0,19.1,0.0,"3,105.00","59,305.50"
01/12/2025,GCB,19.1,6.37,19.1,19.1,19.10,19.1,0.0,19.1,0.0,491.00,"9,378.10"
28/11/2025,GCB,19.1,6.37,19.1,19.1,19.10,19.1,0.0,19.0,19.1,"401,468.00","7,668,038.80"
27/11/2025,GCB,19.1,6.37,19.0,19.0,19.10,19.1,0.1,19.0,19.1,846.00,"16,142.80"
26/11/2025,GCB,19.0,6.37,19.0,19.0,19.00,19.0,0.0,19.0,20.04,"1,347.00","25,620.35"
25/11/2025,GCB,19.0,6.37,19.0,19.0,19.00,19.0,0.0,19.0,20.04,"3,717.00","70,623.00"
24/11/2025,GCB,19.0,6.37,19.0,19.0,19.00,19.0,0.0,19.0,20.04,"20,177.00","383,363.00"
21/11/2025,GCB,19.0,6.37,18.5,18.5,19.00,19.0,0.5,18.5,19.0,"1,390,045.00","26,411,706.24"
20/11/2025,GCB,18.5,6.37,18.5,18.5,18.50,18.5,0.0,17.51,18.5,"501,378.00","9,276,397.86"
19/11/2025,GCB,18.5,6.37,18.22,18.22,18.50,18.5,0.28,17.51,18.5,"1,116,718.00","20,660,322.50"
18/11/2025,GCB,18.22,6.37,18.01,18.01,18.22,18.22,0.21,18.5,0.0,"25,500.00","464,550.00"
17/11/2025,GCB,18.01,6.37,18.0,18.0,18.02,18.01,0.01,18.01,0.0,"13,857.00","249,603.08"
14/11/2025,GCB,18.0,6.37,18.0,18.0,18.00,18.0,0.0,18.01,0.0,866.00,"15,596.64"
13/11/2025,GCB,18.0,6.37,18.0,18.0,18.00,18.0,0.0,18.0,0.0,484.00,"8,712.00"
12/11/2025,GCB,18.0,6.37,17.82,17.82,18.00,18.0,0.18,17.82,0.0,"3,218.00","57,869.74"
11/11/2025,GCB,17.82,6.37,17.82,17.82,17.82,17.82,0.0,17.82,0.0,383.00,"6,825.06"
10/11/2025,GCB,17.82,6.37,17.82,17.82,17.82,17.82,0.0,17.82,0.0,317.00,"5,648.94"
07/11/2025,GCB,17.82,6.37,17.8,17.8,17.82,17.82,0.02,17.81,0.0,650.00,"11,583.00"
06/11/2025,GCB,17.8,6.37,17.8,17.8,17.80,17.8,0.0,17.82,0.0,265.00,"4,718.60"
05/11/2025,GCB,17.8,6.37,17.8,17.8,17.80,17.8,0.0,16.96,0.0,0.00,0.00
04/11/2025,GCB,17.8,6.37,17.5,17.5,17.80,17.8,0.3,16.96,0.0,"3,150.00","56,070.00"
03/11/2025,GCB,17.5,6.37,16.97,16.97,17.50,17.5,0.53,16.96,0.0,"3,013.00","52,727.50"
31/10/2025,GCB,16.97,6.37,16.97,16.97,16.97,16.97,0.0,17.0,17.5,413.00,"7,017.61"
30/10/2025,GCB,16.97,6.37,16.95,16.95,16.97,16.97,0.02,16.87,0.0,"12,246.00","207,739.24"
29/10/2025,GCB,16.95,6.37,15.65,15.65,16.87,16.95,1.3,16.87,0.0,"10,576.00","179,280.01"
