Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
05/01/2026,GGBL,6.6,6.6,6.6,6.6,6.6,6.6,0.0,0.0,6.6,495.00,"3,267.00"
02/01/2026,GGBL,6.6,5.47,6.6,6.6,6.6,6.6,0.0,0.0,6.6,217.00,"1,432.20"
31/12/2025,GGBL,6.6,5.47,6.6,6.6,6.6,6.6,0.0,0.0,6.6,"4,923.00","32,491.80"
30/12/2025,GGBL,6.6,5.47,6.6,6.6,6.6,6.6,0.0,0.0,6.6,293.00,"1,933.80"
29/12/2025,GGBL,6.6,5.47,6.6,6.6,6.6,6.6,0.0,0.0,6.6,499.00,"3,293.40"
22/12/2025,GGBL,6.6,5.47,6.6,6.6,6.6,6.6,0.0,0.0,6.6,"1,222.00","8,065.20"
23/12/2025,GGBL,6.6,5.47,6.6,6.6,6.6,6.6,0.0,0.0,6.6,"1,172.00","7,735.20"
24/12/2025,GGBL,6.6,5.47,6.6,6.6,6.6,6.6,0.0,0.0,6.6,"1,110.00","7,326.00"
19/12/2025,GGBL,6.6,5.47,6.6,6.6,6.6,6.6,0.0,0.0,6.6,"3,107.00","20,506.20"
18/12/2025,GGBL,6.6,5.47,6.6,6.6,6.6,6.6,0.0,0.0,6.6,202.00,"1,333.20"
20/12/2025,GGBL,6.6,5.47,6.6,6.6,6.6,6.6,0.0,,,3107,20506.199999999997
17/12/2025,GGBL,6.6,5.47,6.6,6.6,6.60,6.6,0.0,0.0,6.6,217.00,"1,432.20"
16/12/2025,GGBL,6.6,5.47,6.6,6.6,6.60,6.6,0.0,0.0,6.6,269.00,"1,775.40"
15/12/2025,GGBL,6.6,5.47,6.6,6.6,6.60,6.6,0.0,0.0,6.6,487.00,"3,214.20"
