"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"17/12/2025","GOIL","2.91","1.52","2.91","2.91","2.91","2.91","0.00","2.95","0.00","0.00","0.00"
"16/12/2025","GOIL","2.91","1.52","2.90","2.90","2.91","2.91","0.01","2.91","0.00","5,000.00","14,550.00"
"15/12/2025","GOIL","2.90","1.52","2.88","2.88","2.90","2.90","0.02","2.90","0.00","30,794.00","89,302.60"
"12/12/2025","GOIL","2.88","1.52","2.88","2.88","2.88","2.88","0.00","2.92","0.00","0.00","0.00"
"11/12/2025","GOIL","2.88","1.52","2.88","2.88","2.88","2.88","0.00","2.90","0.00","810.00","2,349.00"
"10/12/2025","GOIL","2.88","1.52","2.85","2.85","2.88","2.88","0.03","2.89","0.00","1,584.00","4,561.92"
"09/12/2025","GOIL","2.85","1.52","2.85","2.85","2.85","2.85","0.00","2.88","0.00","181.00","521.28"
"08/12/2025","GOIL","2.85","1.52","2.85","2.85","2.85","2.85","0.00","2.88","0.00","320.00","921.60"
"04/12/2025","GOIL","2.85","1.52","2.85","2.85","2.85","2.85","0.00","2.85","0.00","654.00","1,876.98"
"03/12/2025","GOIL","2.85","1.52","2.83","2.83","2.85","2.85","0.02","2.85","0.00","1,619.00","4,614.15"
"02/12/2025","GOIL","2.83","1.52","2.83","2.83","2.83","2.83","0.00","2.84","0.00","0.00","0.00"
"01/12/2025","GOIL","2.83","1.52","2.83","2.83","2.83","2.83","0.00","2.85","0.00","867.00","2,471.70"
"28/11/2025","GOIL","2.83","1.52","2.83","2.83","2.83","2.83","0.00","2.95","0.00","0.00","0.00"
"27/11/2025","GOIL","2.83","1.52","2.76","2.76","2.83","2.83","0.07","2.83","0.00","18,069.00","51,134.11"
"26/11/2025","GOIL","2.76","1.52","2.76","2.76","2.76","2.76","0.00","2.80","0.00","0.00","0.00"
"25/11/2025","GOIL","2.76","1.52","2.76","2.76","2.76","2.76","0.00","2.76","0.00","1,120.00","3,091.20"
"24/11/2025","GOIL","2.76","1.52","2.75","2.75","2.76","2.76","0.01","2.76","0.00","2,400.00","6,624.00"
"21/11/2025","GOIL","2.75","1.52","2.68","2.68","2.74","2.75","0.07","2.94","0.00","24,014.00","65,975.24"
"20/11/2025","GOIL","2.68","1.52","2.68","2.68","2.68","2.68","0.00","2.71","0.00","0.00","0.00"
"19/11/2025","GOIL","2.68","1.52","2.68","2.68","2.68","2.68","0.00","2.71","0.00","924.00","2,502.80"
"18/11/2025","GOIL","2.68","1.52","2.61","2.61","2.68","2.68","0.07","2.68","0.00","2,298.00","6,158.64"
"17/11/2025","GOIL","2.61","1.52","2.61","2.61","2.61","2.61","0.00","2.67","0.00","0.00","0.00"
"14/11/2025","GOIL","2.61","1.52","2.61","2.61","2.61","2.61","0.00","2.71","0.00","0.00","0.00"
"13/11/2025","GOIL","2.61","1.52","2.61","2.61","2.61","2.61","0.00","2.80","0.00","1,530.00","4,085.10"
"12/11/2025","GOIL","2.61","1.52","2.61","2.61","2.61","2.61","0.00","2.80","0.00","0.00","0.00"
"11/11/2025","GOIL","2.61","1.52","2.61","2.61","2.61","2.61","0.00","2.80","0.00","1.00","2.70"
"10/11/2025","GOIL","2.61","1.52","2.61","2.61","2.61","2.61","0.00","2.68","0.00","0.00","0.00"
"07/11/2025","GOIL","2.61","1.52","2.61","2.61","2.61","2.61","0.00","2.68","0.00","1.00","2.68"
