Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
07/01/2026,MAC,5.2,5.2,5.2,5.2,5.2,5.2,0.0,0.0,0.0,0.00,0.00
06/01/2026,MAC,5.2,5.2,5.2,5.2,5.2,5.2,0.0,5.2,0.0,0.00,0.00
05/01/2026,MAC,5.2,5.2,5.2,5.2,5.2,5.2,0.0,5.2,0.0,0.00,0.00
02/01/2026,MAC,5.38,5.38,5.2,5.2,5.2,5.2,0.0,5.2,0.0,0.00,0.00
31/12/2025,MAC,5.38,5.38,5.2,5.2,5.2,5.2,0.0,5.2,0.0,0.00,0.00
30/12/2025,MAC,5.38,5.38,5.2,5.2,5.2,5.2,0.0,5.2,0.0,1.00,5.20
29/12/2025,MAC,5.38,5.38,5.2,5.2,5.2,5.2,0.0,5.2,0.0,1.00,5.20
22/12/2025,MAC,5.38,5.38,5.2,5.2,5.2,5.2,0.0,5.2,0.0,0,0
23/12/2025,MAC,5.38,5.38,5.2,5.2,5.2,5.2,0.0,5.2,0.0,0,0
24/12/2025,MAC,5.38,5.38,5.2,5.2,5.2,5.2,0.0,5.2,0.0,1,5.2
19/12/2025,MAC,5.38,5.38,5.2,5.2,5.2,5.2,0.0,5.2,0.0,2.00,10.40
18/12/2025,MAC,5.38,5.38,5.2,5.2,5.2,5.2,0.0,5.2,0.0,0.00,0.00
20/12/2025,MAC,5.38,5.2,5.2,5.2,5.2,5.2,0.0,,,2,10.4
17/12/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,5.2,0.0,0.00,0.00
16/12/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,0.0,5.2,189.00,982.80
15/12/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,0.0,0.0,0.00,0.00
12/12/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,0.0,0.0,0.00,0.00
11/12/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,5.2,0.0,0.00,0.00
10/12/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,0.00,0.00
09/12/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,0.0,0.00,0.00
08/12/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,5.2,0.0,12.00,62.40
04/12/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,5.2,0.0,0.00,0.00
03/12/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,5.2,0.0,0.00,0.00
02/12/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,5.2,0.0,0.00,0.00
01/12/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,5.2,0.0,0.00,0.00
28/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,5.2,0.0,0.00,0.00
27/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,5.00,26.00
26/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,1.00,5.20
25/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,1.00,5.20
24/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,3.00,15.60
21/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,3.00,15.60
20/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,0.00,0.00
19/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,21.00,109.20
18/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,0.00,0.00
17/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,0.00,0.00
14/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,10.00,52.00
13/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,48.00,249.60
12/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,25.00,130.00
11/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,2.00,10.40
10/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,0.00,0.00
07/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,2.00,10.40
06/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,0.00,0.00
05/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,0.00,0.00
04/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,188.00,977.60
03/11/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,55.00,286.00
31/10/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,16.00,83.20
30/10/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,15.00,78.00
29/10/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,4.7,5.2,8.00,41.60
28/10/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,0.0,5.2,2.00,10.40
27/10/2025,MAC,5.38,5.38,5.2,5.2,5.20,5.2,0.0,0.0,5.2,85.00,442.00
24/10/2025,MAC,5.38,5.38,5.38,5.38,5.20,5.2,-0.18,0.0,0.0,"24,423.00","126,999.60"
23/10/2025,MAC,5.38,5.38,5.38,5.38,5.38,5.38,0.0,0.0,0.0,0.00,0.00
22/10/2025,MAC,5.38,5.38,5.38,5.38,5.38,5.38,0.0,0.0,0.0,0.00,0.00
21/10/2025,MAC,5.38,5.38,5.38,5.38,5.38,5.38,0.0,0.0,0.0,0.00,0.00
20/10/2025,MAC,5.38,5.38,5.38,5.38,5.38,5.38,0.0,0.0,0.0,0.00,0.00
17/10/2025,MAC,5.38,5.38,5.38,5.38,5.38,5.38,0.0,0.0,0.0,0.00,0.00
