Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
05/01/2026,MTNGH,4.21,4.2,4.2,4.2,4.21,4.21,0.01,4.2,4.35,"485,319.00","2,043,235.46"
02/01/2026,MTNGH,4.52,2.5,4.2,4.2,4.2,4.2,0.0,4.2,4.21,"960,269.00","4,033,240.76"
31/12/2025,MTNGH,4.52,2.5,4.2,4.2,4.2,4.2,0.0,4.2,4.21,"178,655.00","750,611.00"
30/12/2025,MTNGH,4.52,2.5,4.2,4.2,4.2,4.2,0.0,4.19,4.2,"1,170,707.00","4,916,969.40"
29/12/2025,MTNGH,4.52,2.5,4.2,4.2,4.2,4.2,0.0,4.19,4.2,"274,595.00","1,153,399.00"
22/12/2025,MTNGH,4.52,2.5,4.19,4.19,4.19,4.19,0.0,3.8,4.19,"33,078,608.00","128,849,460.72"
23/12/2025,MTNGH,4.52,2.5,4.19,4.19,4.19,4.19,0.0,4.18,4.19,"134,505.00","563,575.95"
24/12/2025,MTNGH,4.52,2.5,4.19,4.19,4.2,4.2,0.01,4.2,4.35,"480,630.00","2,018,604.38"
19/12/2025,MTNGH,4.52,2.5,4.2,4.2,4.2,4.19,-0.01,4.1,4.2,"80,843.00","338,535.60"
18/12/2025,MTNGH,4.52,2.5,4.2,4.2,4.2,4.2,0.0,4.1,4.2,"520,195.00","2,184,819.00"
20/12/2025,MTNGH,4.52,2.5,4.2,4.2,4.19,4.19,-0.01,,,80843,338732.17000000004
17/12/2025,MTNGH,4.52,2.50,4.2,4.2,4.2,4.2,0.0,4.2,4.21,"960,269.00","4,033,240.76"
16/12/2025,MTNGH,4.52,2.50,4.2,4.2,4.2,4.2,0.0,4.0,4.2,"4,439,199.00","18,644,635.80"
15/12/2025,MTNGH,4.52,2.50,4.2,4.2,4.2,4.2,0.0,4.1,4.2,"1,012,810.00","4,253,802.00"
12/12/2025,MTNGH,4.52,2.50,4.2,4.2,4.2,4.2,0.0,4.2,4.21,"991,294.00","4,163,434.80"
11/12/2025,MTNGH,4.52,2.50,4.2,4.2,4.2,4.2,0.0,4.0,4.2,"154,341.00","648,232.20"
10/12/2025,MTNGH,4.52,2.50,4.2,4.2,4.2,4.2,0.0,4.2,4.4,"153,843.00","646,140.60"
09/12/2025,MTNGH,4.52,2.50,4.2,4.2,4.2,4.2,0.0,4.2,4.4,"6,215,396.00","26,104,663.20"
08/12/2025,MTNGH,4.52,2.50,4.2,4.2,4.2,4.2,0.0,4.2,4.21,"203,723.00","855,614.60"
04/12/2025,MTNGH,4.52,2.50,4.2,4.2,4.2,4.2,0.0,4.15,4.2,"90,323.00","379,356.60"
03/12/2025,MTNGH,4.52,2.50,4.21,4.21,4.2,4.2,-0.01,4.15,4.2,"117,423.00","493,176.60"
02/12/2025,MTNGH,4.52,2.50,4.21,4.21,4.21,4.21,0.0,4.2,4.21,"236,886.00","997,298.40"
01/12/2025,MTNGH,4.52,2.50,4.21,4.21,4.21,4.21,0.0,4.15,4.21,"147,431.00","620,684.51"
28/11/2025,MTNGH,4.52,2.50,4.21,4.21,4.21,4.21,0.0,4.15,4.21,"1,621,187.00","6,825,097.27"
27/11/2025,MTNGH,4.52,2.50,4.21,4.21,4.21,4.21,0.0,4.21,4.3,"8,516.00","35,852.36"
