Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
03/02/2026,RBGH,1.34,1.3,1.34,1.34,1.34,1.34,0.0,1.34,,690.0,924.6
02/02/2026,RBGH,1.34,1.3,1.33,1.33,1.34,1.34,0.01,1.34,,1.0,1.0
30/01/2026,RBGH,1.33,1.3,1.33,1.33,1.34,1.33,0.0,1.34,,96.0,128.64
29/01/2026,RBGH,1.33,1.3,1.33,1.33,1.34,1.33,0.0,1.34,,5.0,6.7
28/01/2026,RBGH,1.33,1.3,1.33,1.33,1.35,1.33,0.0,1.35,,205.0,276.75
27/01/2026,RBGH,1.33,1.3,1.33,1.33,1.34,1.33,0.0,1.34,,935.0,1.0
26/01/2026,RBGH,1.33,1.3,1.33,1.33,1.33,1.33,0.0,1.34,,0.00,0.00
23/01/2026,RBGH,1.33,1.3,1.33,1.33,1.33,1.33,0.0,1.33,,113.00,150.29
22/01/2026,RBGH,1.33,1.3,1.33,1.33,1.33,1.33,0.0,1.33,,24.00,31.92
21/01/2026,RBGH,1.33,1.3,1.33,1.33,1.33,1.33,0.0,1.33,,84.00,111.72
20/01/2026,RBGH,1.33,1.3,1.32,1.32,1.33,1.33,0.01,1.33,,2.00,2.00
19/01/2026,RBGH,1.32,1.3,1.32,1.32,1.33,1.32,0.0,1.33,,0.00,0.00
08/01/2026,RBGH,1.3,1.3,1.3,1.3,1.3,1.3,0.0,1.33,0.0,0.00,0.00
12/01/2026,RBGH,1.3,1.3,1.3,1.3,1.33,1.3,0.0,1.33,1.42,585.00,778.05
13/01/2026,RBGH,1.25,0.6,1.25,1.25,1.25,1.25,0.0,1.25,0.0,0.00,0.00
14/01/2026,RBGH,1.32,1.3,1.32,1.32,1.33,1.32,0.0,1.33,0.0,4.00,
15/01/2026,RBGH,1.32,1.3,1.32,1.32,1.33,1.32,0.0,1.33,0.0,10.00,13.30
16/01/2026,RBGH,1.25,0.6,1.25,1.25,1.25,1.25,0.0,0.0,1.25,"18,462.00","23,077.50"
07/01/2026,RBGH,1.3,1.3,1.3,1.3,1.3,1.3,0.0,1.33,0.0,35.00,46.55
06/01/2026,RBGH,1.3,1.3,1.3,1.3,1.33,1.3,0.0,1.33,0.0,76.00,101.06
05/01/2026,RBGH,1.3,1.3,1.3,1.3,1.3,1.3,0.0,1.3,0.0,314.00,409.84
02/01/2026,RBGH,1.25,0.6,1.25,1.25,1.25,1.25,0.0,1.25,0.0,0.00,0.00
31/12/2025,RBGH,1.3,0.6,1.3,1.3,1.3,1.3,0.0,1.3,0.0,160.00,208.00
30/12/2025,RBGH,1.3,0.6,1.3,1.3,1.3,1.3,0.0,1.3,0.0,"1,026.00","1,333.80"
29/12/2025,RBGH,1.3,0.6,1.3,1.3,1.3,1.3,0.0,1.3,0.0,4.00,5.20
22/12/2025,RBGH,1.3,0.6,1.25,1.25,1.3,1.3,0.05,1.3,0.0,"23,000.00","29,900.00"
23/12/2025,RBGH,1.3,0.6,1.3,1.3,1.3,1.3,0.0,1.3,0.0,970,"1,261.00"
24/12/2025,RBGH,1.3,0.6,1.3,1.3,1.3,1.3,0.0,1.3,0.0,130,169
19/12/2025,RBGH,1.25,0.6,1.25,1.25,1.25,1.25,0.0,1.25,0.0,1.00,1.25
