Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
02/01/2026,SCB,29.16,23.0,29.16,29.16,29.16,29.16,0.0,29.16,0.0,0.00,0.00
31/12/2025,SCB,29.22,23.0,29.22,29.22,29.25,29.22,0.0,29.25,0.0,100.00,"2,925.00"
30/12/2025,SCB,29.22,23.0,29.22,29.22,29.22,29.22,0.0,29.25,0.0,1.00,29.25
29/12/2025,SCB,29.22,23.0,29.16,29.16,29.22,29.22,0.06,29.25,0.0,"1,000.00","29,220.00"
22/12/2025,SCB,29.16,23.0,29.16,29.16,29.16,29.16,0.0,29.2,0.0,0,0
23/12/2025,SCB,29.16,23.0,29.16,29.16,29.16,29.16,0.0,29.2,0.0,0,0
24/12/2025,SCB,29.16,23.0,29.16,29.16,29.16,29.16,0.0,29.2,0.0,0,0
19/12/2025,SCB,29.16,23.0,29.16,29.16,29.2,29.16,0.0,29.2,0.0,7.00,204.40
18/12/2025,SCB,29.16,23.0,29.16,29.16,29.16,29.16,0.0,29.2,0.0,0.00,0.00
20/12/2025,SCB,29.16,23.0,29.16,29.16,29.16,29.16,0.0,,,7,204.12
17/12/2025,SCB,29.16,23.00,29.16,29.16,29.16,29.16,0.0,29.16,0.00,0.00,0.00
16/12/2025,SCB,29.16,23.00,29.16,29.16,29.16,29.16,0.0,29.16,0.00,350.00,"10,206.00"
15/12/2025,SCB,29.16,23.00,29.16,29.16,29.16,29.16,0.0,29.16,0.00,"1,096.00","31,959.36"
12/12/2025,SCB,29.16,23.00,29.14,29.14,29.16,29.16,0.02,29.16,0.00,"1,119.00","32,630.04"
11/12/2025,SCB,29.14,23.00,29.14,29.14,29.14,29.14,0.0,29.15,0.00,0.00,0.00
10/12/2025,SCB,29.14,23.00,29.14,29.14,29.14,29.14,0.0,29.15,0.00,200.00,"5,830.00"
09/12/2025,SCB,29.14,23.00,29.13,29.13,29.14,29.14,0.01,29.14,0.00,"3,143.00","91,587.02"
08/12/2025,SCB,29.13,23.00,29.13,29.13,29.13,29.13,0.0,29.13,0.00,0.00,0.00
04/12/2025,SCB,29.13,23.00,29.13,29.13,29.13,29.13,0.0,29.13,0.00,0.00,0.00
03/12/2025,SCB,29.13,23.00,29.13,29.13,29.13,29.13,0.0,29.13,0.00,4.00,116.52
02/12/2025,SCB,29.13,23.00,29.13,29.13,29.13,29.13,0.0,29.13,0.00,108.00,"3,146.04"
01/12/2025,SCB,29.13,23.00,29.13,29.13,29.13,29.13,0.0,29.13,0.00,2.00,58.26
28/11/2025,SCB,29.13,23.00,29.13,29.13,29.13,29.13,0.0,29.13,0.00,120.00,"3,495.60"
27/11/2025,SCB,29.13,23.00,29.13,29.13,29.13,29.13,0.0,29.13,0.00,0.00,0.00
26/11/2025,SCB,29.13,23.00,29.12,29.12,29.13,29.13,0.01,29.13,0.00,"251,774.00","7,334,176.62"
25/11/2025,SCB,29.12,23.00,29.12,29.12,29.12,29.12,0.0,29.12,0.00,0.00,0.00
24/11/2025,SCB,29.12,23.00,29.12,29.12,29.12,29.12,0.0,29.12,0.00,0.00,0.00
21/11/2025,SCB,29.12,23.00,29.12,29.12,29.12,29.12,0.0,29.12,0.00,"2,785.00","81,099.20"
20/11/2025,SCB,29.12,23.00,29.12,29.12,29.12,29.12,0.0,29.12,0.00,0.00,0.00
19/11/2025,SCB,29.12,23.00,29.12,29.12,29.12,29.12,0.0,29.12,0.00,62.00,"1,805.44"
18/11/2025,SCB,29.12,23.00,29.12,29.12,29.12,29.12,0.0,29.12,0.00,400.00,"11,648.00"
