Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
27/01/2026,SIC,1.2,1.2,1.2,1.2,1.2,1.2,0.0,1.21,1.2,10.0,12.0
26/01/2026,SIC,1.2,1.2,1.2,1.2,1.2,1.2,0.0,,1.2,138.00,166.00
23/01/2026,SIC,1.2,1.2,1.2,1.2,1.2,1.2,0.0,1.2,1.25,1.00,1.00
22/01/2026,SIC,1.2,1.2,1.2,1.2,1.2,1.2,0.0,1.2,1.2,3.00,4.00
21/01/2026,SIC,1.2,1.2,1.2,1.2,1.2,1.2,0.0,1.2,1.2,3.00,4.00
20/01/2026,SIC,1.2,1.2,1.2,1.2,1.2,1.2,0.0,1.2,1.2,392.00,470.00
19/01/2026,SIC,1.2,1.2,1.2,1.2,1.2,1.2,0.0,1.2,1.2,80.00,96.00
08/01/2026,SIC,1.2,1.2,1.2,1.2,1.2,1.2,0.0,1.2,0.0,"97,291.00","116,749.20"
12/01/2026,SIC,1.2,1.2,1.2,1.2,1.2,1.2,0.0,0.0,1.2,"76,867.00","92,240.40"
13/01/2026,SIC,1.2,0.27,1.2,1.2,1.2,1.2,0.0,0.0,1.2,"33,095.00","39,714.00"
15/01/2026,SIC,1.2,1.2,1.2,1.2,1.2,1.2,0.0,0.0,1.2,"42,364.00","50,836.80"
16/01/2026,SIC,1.2,0.27,1.2,1.2,1.2,1.2,0.0,1.2,0.0,"26,660.00","31,992.00"
07/01/2026,SIC,1.2,1.2,1.2,1.2,1.2,1.2,0.0,0.0,1.2,"50,268.00","60,321.60"
06/01/2026,SIC,1.2,1.2,1.2,1.2,1.2,1.2,0.0,0.0,1.2,"46,053.00","55,263.60"
05/01/2026,SIC,1.2,1.2,1.2,1.2,1.2,1.2,0.0,1.09,1.2,"183,045.00","219,654.00"
02/01/2026,SIC,1.2,0.27,1.2,1.2,1.2,1.2,0.0,0.0,1.2,"33,095.00","39,714.00"
31/12/2025,SIC,1.2,0.27,1.2,1.2,1.2,1.2,0.0,1.09,1.2,"60,070.00","72,064.00"
30/12/2025,SIC,1.2,0.27,1.2,1.2,1.2,1.2,0.0,1.1,1.2,"60,272.00","72,326.40"
29/12/2025,SIC,1.2,0.27,1.2,1.2,1.2,1.2,0.0,0.0,1.2,"15,171.00","18,205.20"
22/12/2025,SIC,1.2,0.27,1.2,1.2,1.2,1.2,0.0,1.09,1.2,"45,614.00","54,736.80"
23/12/2025,SIC,1.2,0.27,1.2,1.2,1.2,1.2,0.0,1.09,1.2,"20,842.00","25,010.40"
24/12/2025,SIC,1.2,0.27,1.2,1.2,1.2,1.2,0.0,1.1,1.2,"49,697.00","59,636.40"
19/12/2025,SIC,1.2,0.27,1.2,1.2,1.2,1.2,0.0,1.09,1.2,"39,183.00","47,019.60"
18/12/2025,SIC,1.2,0.27,1.2,1.2,1.2,1.2,0.0,1.09,1.2,"61,393.00","73,668.30"
20/12/2025,SIC,1.2,0.27,1.2,1.2,1.2,1.2,0.0,,,39183,47019.6
17/12/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,0.0,1.2,"33,095.00","39,714.00"
16/12/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,1.1,1.2,"78,876.00","94,651.20"
15/12/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,1.1,1.2,"86,835.00","104,202.00"
12/12/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,0.0,1.2,"8,241.00","9,889.20"
11/12/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,0.0,1.2,"138,424.00","166,108.80"
10/12/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,0.0,1.2,"71,804.00","86,164.80"
09/12/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,0.0,1.2,"17,292.00","20,750.40"
08/12/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,1.2,0.0,"11,323.00","13,587.60"
04/12/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,1.2,0.0,"88,377.00","106,058.40"
03/12/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,1.2,0.0,"20,798.00","24,957.60"
02/12/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,0.0,1.2,"14,979.00","17,974.80"
01/12/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,1.2,1.25,"72,213.00","86,655.60"
28/11/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,0.0,1.2,"12,987.00","15,584.40"
27/11/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,1.2,1.3,"49,034.00","58,840.80"
26/11/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,1.2,0.0,"9,968.00","11,961.60"
25/11/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,1.2,0.0,"44,401.00","53,281.20"
24/11/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,1.2,0.0,"5,050.00","6,060.00"
21/11/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,0.0,1.2,"1,583.00","1,899.60"
20/11/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,0.0,1.2,"29,144.00","34,972.80"
19/11/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,0.0,1.2,"82,567.00","99,080.40"
18/11/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,0.0,1.2,"13,610.00","16,332.00"
17/11/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,1.2,1.3,"13,117.00","15,740.40"
14/11/2025,SIC,1.2,0.27,1.2,1.2,1.20,1.2,0.0,0.0,1.2,"47,996.00","57,595.20"
