Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
19/12/2025,SOGEGH,4.5,1.5,4.49,4.49,4.49,4.49,0.0,4.49,0.0,"3,705.00","16,635.45"
18/12/2025,SOGEGH,4.5,1.5,4.49,4.49,4.49,4.49,0.0,4.49,0.0,"664,701.00","2,984,507.49"
20/12/2025,SOGEGH,4.5,1.5,4.49,4.49,4.49,4.49,0.0,,,3705,16635.45
17/12/2025,SOGEGH,4.5,1.50,4.49,4.49,4.49,4.49,0.0,4.49,0.0,"2,915.00","13,088.35"
16/12/2025,SOGEGH,4.5,1.50,4.49,4.49,4.49,4.49,0.0,0.0,4.49,"9,508.00","42,690.92"
15/12/2025,SOGEGH,4.5,1.50,4.49,4.49,4.49,4.49,0.0,4.4,4.49,"6,001.00","26,944.49"
12/12/2025,SOGEGH,4.5,1.50,4.49,4.49,4.49,4.49,0.0,0.0,4.49,"1,319.00","5,922.31"
11/12/2025,SOGEGH,4.5,1.50,4.49,4.49,4.49,4.49,0.0,4.49,0.0,"102,360.00","459,596.40"
10/12/2025,SOGEGH,4.5,1.50,4.49,4.49,4.49,4.49,0.0,4.4,0.0,"2,439.00","10,951.11"
09/12/2025,SOGEGH,4.5,1.50,4.49,4.49,4.49,4.49,0.0,4.49,0.0,"145,794.00","654,715.06"
08/12/2025,SOGEGH,4.5,1.50,4.5,4.5,4.49,4.49,-0.01,4.25,4.49,"7,380.00","33,136.20"
04/12/2025,SOGEGH,4.5,1.50,4.5,4.5,4.50,4.5,0.0,4.25,4.5,"7,232.00","32,535.48"
03/12/2025,SOGEGH,4.5,1.50,4.5,4.5,4.50,4.5,0.0,4.25,4.5,"11,557.00","51,988.15"
02/12/2025,SOGEGH,4.5,1.50,4.5,4.5,4.50,4.5,0.0,0.0,4.49,676.00,"3,040.35"
01/12/2025,SOGEGH,4.5,1.50,4.5,4.5,4.50,4.5,0.0,0.0,4.5,"12,274.00","55,233.00"
