Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
02/01/2026,TBL,1.2,0.83,1.2,1.2,1.2,1.2,0.0,1.32,0.0,0.00,0.00
31/12/2025,TBL,1.2,0.83,1.2,1.2,1.2,1.2,0.0,1.32,0.0,0.00,0.00
30/12/2025,TBL,1.2,0.83,1.2,1.2,1.2,1.2,0.0,1.32,0.0,0.00,0.00
29/12/2025,TBL,1.2,0.83,1.2,1.2,1.2,1.2,0.0,1.32,0.0,0.00,0.00
22/12/2025,TBL,1.2,0.83,1.2,1.2,1.2,1.2,0.0,1.32,0.0,0,0
23/12/2025,TBL,1.2,0.83,1.2,1.2,1.2,1.2,0.0,1.32,0.0,0,0
24/12/2025,TBL,1.2,0.83,1.2,1.2,1.2,1.2,0.0,1.32,0.0,0,0
19/12/2025,TBL,1.2,0.83,1.2,1.2,1.2,1.2,0.0,1.32,0.0,0.00,0.00
18/12/2025,TBL,1.2,0.83,1.2,1.2,1.2,1.2,0.0,1.32,0.0,0.00,0.00
20/12/2025,TBL,1.2,0.83,1.2,1.2,1.2,1.2,0.0,,,0,0.0
17/12/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.32,0.0,0.00,0.00
16/12/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.32,0.0,0.00,0.00
15/12/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.32,0.0,0.00,0.00
12/12/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.32,0.0,0.00,0.00
11/12/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.32,0.0,0.00,0.00
10/12/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
09/12/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
08/12/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
04/12/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
03/12/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
02/12/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
01/12/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
28/11/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
27/11/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
26/11/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
25/11/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
24/11/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
21/11/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
20/11/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
19/11/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
18/11/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
17/11/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
14/11/2025,TBL,1.2,0.83,1.2,1.2,1.20,1.2,0.0,1.2,0.0,0.00,0.00
13/11/2025,TBL,1.2,0.83,1.1,1.1,1.20,1.2,0.1,1.2,0.0,"16,799.00","20,158.80"
12/11/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
11/11/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
10/11/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
07/11/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
06/11/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
05/11/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
04/11/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
03/11/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
31/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
30/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
29/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
28/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
27/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
24/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
23/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
22/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
21/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
20/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
17/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
16/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
15/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
14/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
13/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
10/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
09/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
08/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
07/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
06/10/2025,TBL,1.1,0.83,1.1,1.1,1.10,1.1,0.0,1.2,0.0,0.00,0.00
