Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
02/01/2026,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
31/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
30/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
29/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
22/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0,0
23/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0,0
24/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0,0
19/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
18/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,4.00,47.68
20/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,,,0,0.0
17/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
16/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,6.00,71.52
15/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
12/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,2.00,23.84
11/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,5.00,59.60
10/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,15.00,178.80
09/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
08/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,20.00,238.40
04/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,13.00,154.96
03/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,10.00,119.20
02/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
01/12/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,6.00,71.52
28/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
27/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
26/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,502.00,"5,983.84"
25/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,3.00,35.76
24/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,6.00,71.52
21/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,91.00,"1,084.72"
20/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,3.00,35.76
19/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,96.00,"1,144.32"
18/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,11.92,0.00,0.00
17/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,15.00,178.80
14/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,11.92,85.00,"1,013.20"
13/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,11.92,13.00,154.96
12/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,0.0,13.00,154.96
11/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
10/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
07/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,0.0,0.00,0.00
06/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,2.00,23.84
05/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,11.92,0.00,0.00
04/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,11.92,10.00,119.20
03/11/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,11.92,0.00,0.00
31/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,0.0,1.00,11.92
30/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,11.92,112.00,"1,335.04"
29/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,11.92,13.00,154.96
28/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
27/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
24/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,65.00,774.80
23/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,10.00,119.20
22/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,7.00,83.44
21/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,11.92,24.00,286.08
20/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,10.00,119.20
17/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,21.00,250.32
16/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
15/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,2.00,23.84
14/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
13/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,7.00,83.44
10/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
09/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,10.00,119.20
08/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
07/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,165.00,"1,966.80"
06/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
03/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
02/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
01/10/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
30/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,11.92,90.00,"1,072.80"
30/09/2025,TLW,"1,462.46","17,432.56",0.0,,0.00,,-1.1084,,,,
29/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,11.92,19.00,226.48
26/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,0.0,0.00,0.00
25/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,26.00,309.92
24/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92
23/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
19/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,101.00,"1,203.92"
18/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
17/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,0.0,0.00,0.00
16/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,0.0,0.00,0.00
15/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,0.0,77.00,917.84
12/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,17.00,202.64
12/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
10/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
09/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
08/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,18.00,214.56
05/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,0.0,8.00,95.36
04/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,0.0,0.00,0.00
03/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,1.00,11.92
02/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,0.0,242.00,"2,884.64"
01/09/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,43.00,512.56
29/08/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,0.00,0.00
28/08/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,11.92,0.0,74.00,882.08
