Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
26/01/2026,TOTAL,40.3,40.25,40.25,40.25,40.24,40.25,0.0,,40.24,1.00,52.00
23/01/2026,TOTAL,40.3,40.25,40.25,40.25,40.25,40.25,0.0,,40.24,1.00,48.00
22/01/2026,TOTAL,40.3,40.25,40.29,40.29,40.25,40.25,-0.04,,40.25,1.00,57.00
21/01/2026,TOTAL,40.3,40.29,40.29,40.29,40.26,40.29,0.0,,40.26,1.00,43.00
20/01/2026,TOTAL,40.3,40.29,40.29,40.29,40.29,40.29,0.0,,40.29,2.00,105.00
19/01/2026,TOTAL,40.3,40.29,40.29,40.29,40.29,40.29,0.0,40.29,40.3,760.00,30.00
08/01/2026,TOTAL,40.3,40.29,40.3,40.3,4.29,40.29,-0.01,0.0,40.29,"1,311.00","52,820.19"
12/01/2026,TOTAL,40.3,40.29,40.29,40.29,40.27,40.29,0.0,0.0,40.27,"2,132.00","85,838.89"
13/01/2026,TOTAL,40.65,13.12,40.35,40.35,40.35,40.35,0.0,0.0,40.3,966.00,"38,929.80"
15/01/2026,TOTAL,40.3,40.29,40.29,40.29,40.29,40.29,0.0,40.0,40.29,"1,217.00",
16/01/2026,TOTAL,40.65,13.12,40.5,40.5,40.5,40.5,0.0,0.0,40.5,371.00,"15,025.50"
07/01/2026,TOTAL,40.3,40.3,40.3,40.3,40.3,40.3,0.0,0.0,40.29,809.00,"32,594.61"
06/01/2026,TOTAL,40.3,40.3,40.3,40.3,40.3,40.3,0.0,0.0,40.3,"1,234.00","49,730.20"
05/01/2026,TOTAL,40.3,40.3,40.3,40.3,40.3,40.3,0.0,0.0,40.3,"3,567.00","143,750.10"
02/01/2026,TOTAL,40.65,13.12,40.35,40.35,40.35,40.35,0.0,0.0,40.3,966.00,"38,929.80"
31/12/2025,TOTAL,40.65,13.12,40.3,40.3,40.3,40.3,0.0,0.0,40.3,"3,591.00","144,717.30"
30/12/2025,TOTAL,40.65,13.12,40.3,40.3,40.3,40.3,0.0,0.0,40.3,"1,302.00","52,470.60"
29/12/2025,TOTAL,40.65,13.12,40.3,40.3,40.3,40.3,0.0,0.0,40.3,"2,507.00","101,032.10"
22/12/2025,TOTAL,40.65,13.12,40.3,40.3,40.3,40.3,0.0,0.0,40.3,604,"24,341.20"
23/12/2025,TOTAL,40.65,13.12,40.3,40.3,40.3,40.3,0.0,0.0,40.3,389,"15,676.70"
24/12/2025,TOTAL,40.65,13.12,40.3,40.3,40.3,40.3,0.0,0.0,40.3,231,"9,309.30"
19/12/2025,TOTAL,40.65,13.12,40.35,40.35,40.3,40.3,-0.05,0.0,40.3,"1,228.00","49,488.40"
18/12/2025,TOTAL,40.65,13.12,40.35,40.35,40.35,40.35,0.0,0.0,40.3,"1,698.00","68,429.40"
