Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
26/01/2026,UNIL,19.79,19.79,19.79,19.79,19.8,19.79,0.0,19.8,,0.00,0.00
23/01/2026,UNIL,19.79,19.79,19.79,19.79,19.8,19.79,0.0,19.8,,77.00,1.00
22/01/2026,UNIL,19.79,19.79,19.79,19.79,19.8,19.79,0.0,19.8,,240.00,4.00
21/01/2026,UNIL,19.79,19.79,19.79,19.79,19.79,19.79,0.0,19.79,,24.00,474.96
20/01/2026,UNIL,19.79,19.79,19.79,19.79,19.79,19.79,0.0,19.79,,308.00,6.00
19/01/2026,UNIL,19.79,19.79,19.79,19.79,19.79,19.79,0.0,19.79,,0.00,0.00
08/01/2026,UNIL,19.79,19.79,19.79,19.79,19.79,19.79,0.0,0.0,19.79,314.00,"6,214.06"
12/01/2026,UNIL,19.79,19.79,19.79,19.79,19.79,19.79,0.0,19.79,0.0,"1,170.00","23,154.30"
13/01/2026,UNIL,20.5,19.5,19.79,19.79,19.79,19.79,0.0,0.0,19.79,36.00,712.44
15/01/2026,UNIL,19.79,19.79,19.79,19.79,19.79,19.79,0.0,0.0,19.79,94.00,
16/01/2026,UNIL,20.5,19.5,19.79,19.79,19.79,19.79,0.0,0.0,19.8,15.00,296.85
07/01/2026,UNIL,19.79,19.79,19.79,19.79,19.79,19.79,0.0,19.79,19.79,408.00,"8,074.32"
06/01/2026,UNIL,19.79,19.79,19.79,19.79,19.79,19.79,0.0,19.79,0.0,4.00,79.16
05/01/2026,UNIL,19.79,19.79,19.79,19.79,19.79,19.79,0.0,19.79,0.0,26.00,514.54
02/01/2026,UNIL,20.5,19.5,19.79,19.79,19.79,19.79,0.0,0.0,19.79,36.00,712.44
31/12/2025,UNIL,20.5,19.5,19.79,19.79,19.79,19.79,0.0,19.79,0.0,61.00,"1,207.19"
30/12/2025,UNIL,20.5,19.5,19.79,19.79,19.79,19.79,0.0,19.79,0.0,1.00,19.79
29/12/2025,UNIL,20.5,19.5,19.79,19.79,19.79,19.79,0.0,19.79,0.0,4.00,79.16
22/12/2025,UNIL,20.5,19.5,19.79,19.79,19.79,19.79,0.0,0.0,19.79,172,"3,403.88"
23/12/2025,UNIL,20.5,19.5,19.79,19.79,19.79,19.79,0.0,19.79,0.0,32,633.28
24/12/2025,UNIL,20.5,19.5,19.79,19.79,19.79,19.79,0.0,19.79,0.0,154,"3,047.66"
19/12/2025,UNIL,20.5,19.5,19.79,19.79,19.79,19.79,0.0,0.0,19.79,303.00,"5,996.37"
18/12/2025,UNIL,20.5,19.5,19.79,19.79,19.79,19.79,0.0,0.0,19.79,219.00,"4,334.01"
20/12/2025,UNIL,20.5,19.5,19.79,19.79,19.79,19.79,0.0,,,303,5996.37
17/12/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,36.00,712.44
16/12/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,852.00,"16,861.08"
15/12/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,44.00,870.76
12/12/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,123.00,"2,434.17"
11/12/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,72.00,"1,424.88"
10/12/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,228.00,"4,512.12"
09/12/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,37.00,732.23
08/12/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,477.00,"9,439.83"
04/12/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,"1,045.00","20,680.55"
03/12/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,133.00,"2,632.07"
02/12/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,11.00,217.69
01/12/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,185.00,"3,661.15"
28/11/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,84.00,"1,662.36"
27/11/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,215.00,"4,254.85"
26/11/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,78.00,"1,543.62"
25/11/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,828.00,"16,386.12"
24/11/2025,UNIL,20.5,19.50,19.79,19.79,19.79,19.79,0.0,0.0,19.79,220.00,"4,353.80"
