"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"27/01/2026","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","11.92","","0.00","0.00"
"27/01/2026","MAC","5.20","5.20","5.20","5.20","5.20","5.20","0.00","","5.20","0.00","0.00"
"27/01/2026","MTNGH","4.25","4.20","4.20","4.20","4.20","4.20","0.00","4.20","4.28","1.00","4.00"
"27/01/2026","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","","","0.00","0.00"
"27/01/2026","RBGH","1.33","1.30","1.33","1.33","1.34","1.33","0.00","1.34","","935.00","1.00"
"27/01/2026","SCB","29.27","29.22","29.26","29.26","29.27","29.27","0.01","29.26","","750.00","21.00"
"27/01/2026","SIC","1.20","1.20","1.20","1.20","1.20","1.20","0.00","1.21","1.20","10.00","12.00"
"27/01/2026","SOGEGH","4.93","4.49","4.93","4.93","4.93","4.93","0.00","4.93","","0.00","0.00"
"27/01/2026","TBL","1.20","1.20","1.20","1.20","1.32","1.20","0.00","1.32","","0.00","0.00"
"27/01/2026","TOTAL","40.30","40.23","40.25","40.25","40.23","40.23","-0.02","40.23","","2.00","86.00"
"27/01/2026","GOIL","3.01","2.96","3.01","3.01","3.03","3.01","0.00","3.03","","0.00","0.00"
"27/01/2026","UNIL","19.79","19.79","19.79","19.79","19.80","19.79","0.00","19.80","","0.00","0.00"
"27/01/2026","AADS","0.42","0.42","0.42","0.42","0.42","0.42","0.00","0.46","0.46","0.00","0.00"
"27/01/2026","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","","0.00","0.00"
"27/01/2026","GLD","494.77","466.72","466.72","466.72","466.72","466.72","0.00","466.72","","1.00","466.72"
"27/01/2026","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","","","0.00","0.00"
"27/01/2026","MMH","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0.00","0.00"
"27/01/2026","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0.10","0.00"
"27/01/2026","IIL","0.05","0.05","0.05","0.05","0.05","0.05","0.00","","","0.00","0.00"
"27/01/2026","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","","","0.00","0.00"
"27/01/2026","CPC","0.06","0.05","0.06","0.06","0.06","0.06","0.00","0.06","","0.00","0.00"
"27/01/2026","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","","0.00","0.00"
"27/01/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0.00","0.00"
"27/01/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0.00","0.00"
"27/01/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","0.00","0.00"
"27/01/2026","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","","6.12","207.00","1.00"
"27/01/2026","BOPP","62.56","55.82","62.56","62.56","62.00","62.56","0.00","62.60","","0.00","0.00"
"27/01/2026","CAL","0.72","0.61","0.71","0.71","0.72","0.72","0.01","0.72","0.75","109.00","78.00"
"27/01/2026","CLYD","0.50","0.46","0.50","0.50","0.54","0.50","0.00","0.52","","0.00","0.00"
"27/01/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.14","","0.00","0.00"
"27/01/2026","ACCESS","16.21","16.20","16.21","16.21","16.21","16.21","0.00","16.21","17.80","0.00","0.00"
"27/01/2026","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.38","","0.00","0.00"
"27/01/2026","EGH","28.89","25.00","28.89","28.89","28.88","28.89","0.00","28.91","","0.00","0.00"
"27/01/2026","EGL","3.53","3.48","3.53","3.53","3.55","3.53","0.00","3.54","","0.00","0.00"
"27/01/2026","ETI","0.77","0.76","0.77","0.77","0.77","0.77","0.00","0.77","","72.00","55.00"
"27/01/2026","FML","8.00","8.00","8.00","8.00","8.00","8.00","0.00","8.00","8.00","20.00","160.00"
"27/01/2026","FAB","7.78","7.71","7.78","7.78","7.78","7.78","0.00","7.78","","0.00","0.00"
"27/01/2026","GCB","22.05","20.11","22.05","22.05","22.05","22.05","0.00","22.07","","0.00","0.00"
"27/01/2026","GGBL","6.60","6.60","6.60","6.60","6.60","6.60","0.00","6.60","","0.00","0.00"
